"a. mitchell mcconnell, jr","AMCP Security
 Holdings, LP, capital account
 Description: N/A (Greenwich,
 CT) Filer comment: Final K-1 was received in 2020. No
 more value in this.",CT,"AMCP Security
  Holdings, LP, capital account",AMCP Security
"A. Mitchell McConnell, Jr","University of Kentucky College of Law
 Lexington, Kentucky",KY,University of Kentucky College of Law,NA
amy j klobuchar,"State of Maryland (University of Baltimore)Annapolis, MD",,State of Maryland (University of Baltimore),NA
amy j klobuchar,"Georgetown UniversityWashington, DC",,Georgetown University,NA
"angus s king, jr","A WOMAN, A PART
 LLC
 Company: A WOMAN, A PART LLC (ULSTER
 PARK, NY) Description: FILM PRODUCTION
 COMPANY Filer comment: .20 NON-VOTING CLASS B
 MEMBERSHIP SHARE",NY,"A WOMAN, A PART
  LLC",A Woman A Part
"angus s king, jr","MAINE DEPT OF EDUCATIONAUGUSTA, ME",,MAINE DEPT OF EDUCATION,NA
benjamin l cardin,"Lansdowne Station
 Self Storage, LLC
 Company: Lansdowne Station Self
 Storage, LLC (Baltimore, Md) Description: Real
 Estate Filer comment: See ""Attachments and Comments"";
 evaluation based on cap rate of rental income less debt; Capital
 Account 0; Income as reflected on K1",MD,"Lansdowne Station
  Self Storage, LLC",Lansdowne Station Self Storage
Benjamin L Cardin,"University of Maryland Law School
 Baltimore, Md",MD,University of Maryland Law School,NA
Benjamin L Cardin,"University of Maryland, Balto. Co.
 Baltimore, Md",MD,"University of Maryland, Baltimore County",NA
Benjamin L Cardin,"US Naval Academy
 Annapolis, Md",MD,US Naval Academy,NA
Benjamin L Cardin,"Congressional Coalition on Adoption Institute National Angels
 in Adoption
 Washington, DC",DC,"Congressional Coalition on Adoption Institute National Angels
  in Adoption",NA
benjamin l cardin,"Venture BG,
 LLC
 Company: Venture BG, LLC (Baltimore,
 Md) Description: Real Estate Filer
 comment: See ""Attachments and Comments""; evaluation based on
 cap rate of rental income less debt; Capital Account negative;
 income as reflected K1.",MD,"Venture BG,
  LLC",Venture BG
brian e schatz,"Schatz Collaborative LLCHonolulu, HI",,Schatz Collaborative LLC,Schatz
brian e schatz,"Schatz
 Collaborative LLC
 Company: Schatz Collaborative LLC
 (Honolulu, HI) Description: Community based real
 estate development consulting services",HI,"Schatz
  Collaborative LLC",Schatz Collaborative
catherine cortez masto,"Universal Security SpecialistsLas Vegas, Nevada",,Universal Security Specialists,Universal Security Specialists
charles e grassley,"Farmer's
 Cooperative Co.
 Description: Cooperative (New Hartford,
 Iowa)",IA,"Farmer's
  Cooperative Co.",Farmer's Cooperative
charles e grassley,"Farm Land-all
 located in Butler County, Iowa, Beaver Township
 Description: Sec. 24, Rng. 15-72 A (New
 Hartford, Iowa) Filer comment: Combined Farm Income
 for all farmland: $223,956 less expenses $47,617 = $176,339 NET.
 Not possible to seperate income by individual farm.",IA,Farm Land,NA
charles e grassley,"Farm Land-all
 located in Butler County, Iowa, Beaver Township
 Description: Sec. 16, Rng. 15-118 A
 (New Hartford, Iowa) Filer comment: See comments in
 Item 2 for explanation of Net Income for all farmland. Not possible
 to separate income by farm. Land being sold under long-term
 contract.",IA,Farm Land,NA
charles e grassley,"Farm Land-All
 located in Butler County, Iowa, Beaver Township
 Description: Sec. 16, Rng. 15 - 40 A
 (New Hartford, Iowa) Filer comment: See comments in
 Item 2 for explanation of Net Income for all farmland. Not possible
 to separate income by farm. Land being sold by long-term
 contract.",IA,Farm Land,NA
charles e grassley,"Farm Land-All
 Located in Butler County, Iowa, Beaver Township
 Description: Sec. 15, Rng. 15-43 A (New
 Hartford, Iowa) Filer comment: See comments in Item 2
 for explanation of Net Income for all farmland. Not possible to
 separate income by farm. Land being sold under long-term
 contract.",IA,Farm Land,NA
charles e grassley,"Farm Land-All
 located in Butler County, Iowa, Beaver Township
 Description: Sec. 15, Rng. 15-87 A (New
 Hartford, Iowa) Filer comment: See comments in Item 2
 for explanation of Net Income for all farmland. Not possible to
 separate income by farm. Land being sold under long-term
 contract",IA,Farm Land,NA
charles e grassley,"Farm Land-All
 located in Butler County, Iowa, Beaver Township
 Description: Sec. 34, Rng.15 -114 A
 (New Hartford, Iowa) Filer comment: See comments in
 Item 2 for explanation of Net Income for all farmland. Not possible
 to separate income by farm.",IA,Farm Land,NA
charles e grassley,"Farm Land-All
 located in Butler County, Iowa, Beaver Township
 Description: Sec. 34 & 35, Rng.
 18-120 A (New Hartford, Iowa) Filer comment: See
 comments in Item 2 for explanation of Net Income for all farmland.
 Not possible to separate income by farm.",IA,Farm Land,NA
charles e grassley,"Farm Land-All
 Located in Butler County, Iowa, Beaver Township
 Description: Sec. 34, Rng. 15 - 118 A
 (New Hartford, Iowa) Filer comment: See comments in
 Item 2 for explanation of Net Income for all farmland. Not possible
 to separate income by farm.",IA,Farm Land,NA
charles e grassley,"Property Sale - 2
 acre Farmstead
 Debtor: Robin & Diane
 Grassley Filer comment: Sold land on contract. Last
 payment on contract received in 2020.",,"Property Sale - 2
  acre Farmstead",NA
Charles E Grassley,"Farm-Butler County Iowa
 New Hartford & Cedar Falls, IA",IA,Farm,NA
charles e grassley,"Chambers, Conlon & HartwellWashington, DC",,"Chambers, Conlon & Hartwell",NA
charles e schumer,"US SenateWashington, DC",,US Senate,NA
charles e schumer,"The New York Public LibraryNew York, NY",,The New York Public Library,NA
Christopher A Coons,"Middle Run Charitable Foundation
 Wilmington, DE",DE,Middle Run Charitable Foundation,Middle Run Charitable
christopher a coons,"Robert Gorfam,
 Inc.
 
 Description: Holding
 Company (Newark, DE)",DE,"Robert Gorfam,
  Inc.",Robert Gorfam
christopher a coons,"Robert Gorfam,
 Inc.
 
 Description: Holding
 Company (Newark, DE)",DE,"Robert Gorfam,
  Inc.",Robert Gorfam
christopher a coons,"Robert Gorfam,
 Inc.
 
 Description: Holding
 Company (Newark, DE)",DE,"Robert Gorfam,
  Inc.",Robert Gorfam
christopher a coons,"TCS Lease
 Management LLC
 
 Company: TCS Lease Management LLC
 (Sanibel Island, Florida) Description: Rental
 Real Estate",FL,"TCS Lease
  Management LLC",TCS
christopher murphy,"Education CounselWashington, DC",,Education Counsel,NA
Christopher Murphy,"Susan B Anthony Project
 Torrington, CT",CT,Susan B Anthony Project,Susan B Anthony Project
cindy hyde-smith,"LINCOLN COUNTY LIVESTOCKBROOKHAVEN, MS",,LINCOLN COUNTY LIVESTOCK,Lincoln County Livestock
cindy hyde-smith,"MATHIS FARMS, INCBROOKHAVEN, MS",,"MATHIS FARMS, INC",Mathis Farms
cindy hyde-smith,"FARM LINCOLN
 COUNTY
 Description: BEEF FARM (BROOKHAVEN,
 MS)",MS,"FARM LINCOLN
  COUNTY",NA
cindy hyde-smith,"BEEF
 CATTLE
 Description: SALES OF RAISED AND CULL
 COWS (BROOKHAVEN, MS)",MS,"BEEF
  CATTLE",NA
Cynthia M Lummis,"Arp & Hammond Hardware Co.
 Cheyenne, WY",WY,Arp & Hammond Hardware Co.,Arp & Hammond Hardware
cynthia m lummis,"Laramie River
 Ranch LLC
 Description: Ag land (Wheatland,
 WY) Filer comment: Livestock grazing.",WY,"Laramie River
  Ranch LLC",Laramie River Ranch
cynthia m lummis,"Land and
 cattle
 Description: Lummis Livestock Company
 LLC (Cheyenne, WY) Filer comment: Income number is
 net all expenses.",WY,"Land and
  cattle",Lummis Livestock
cynthia m lummis,"Lummis Livestock CompanyCheyenne, WY",,Lummis Livestock Company,Lummis Livestock
daniel s sullivan,"Baan O Yeel
 Kon
 Description: Alaska Native Claims
 Settlement Act village corporation (Rampart, AK)",AK,"Baan O Yeel
  Kon",Baan O Yeel Kon
daniel s sullivan,"Doyon
 Limited
 Description: Alaska Native Claims
 Settlement Act regional corporation (Fairbanks,
 AK)",AK,Doyon Limited,Doyon
daniel s sullivan,"State of Alaska
 Permanent Fund
 Description: State Fund Managed by
 Alaska Permanent Fund Corp. (Juneau, AK)",AK,"State of Alaska
  Permanent Fund",NA
daniel s sullivan,"State of Alaska
 Permanent Fund
 Description: State Fund Managed by
 Alaska Permanent Fund Corp. (Juneau, AK)",AK,"State of Alaska
  Permanent Fund",NA
daniel s sullivan,"State of Alaska
 Permanent Fund
 Description: State Fund Managed by
 Alaska Permanent Fund Corp. (Juneau, AK)",AK,"State of Alaska
  Permanent Fund",NA
daniel s sullivan,"State of Alaska
 Permanent Fund
 Description: State Fund Managed by
 Alaska Permanent Fund Corp. (Juneau, AK)",AK,"State of Alaska
  Permanent Fund",NA
daniel s sullivan,"State of Alaska
 Permanent Fund
 Description: State Fund Managed by
 Alaska Permanent Fund Corp. (Juneau, AK)",AK,"State of Alaska
  Permanent Fund",NA
Daniel S Sullivan,"Thomas C. and Sandra S. Sullivan Foundation
 Cleveland, OH",OH,Thomas C. and Sandra S. Sullivan Foundation,NA
Daniel S Sullivan,"MARSOC
 Camp Legeune, NC",NC,MARSOC,NA
Daniel S Sullivan,"International Republican Institute
 Washington, DC",DC,International Republican Institute,NA
debra s fischer,"Sunny Slope Ranch, IncValentine, NE",,"Sunny Slope Ranch, Inc.",Sunny Slope Ranch
elizabeth warren,"Harvard UniversityCambridge, MA",,Harvard University,NA
gary c peters,"Meaningful Impact
 Consulting LLC
 Company: Meaningful Impact Consulting
 LLC (Bloomfield Twp,
 MI) Description: Consulting",MI,"Meaningful Impact
  Consulting LLC",Meaningful Impact Consulting
gary c peters,"Meaningful Impact Consulting LLCBloomfield Twp, MI",,Meaningful Impact Consulting LLC,Meaningful Impact Consulting
Gary C Peters,"Myself and the Michigan Legislative Retirement System
 Lansing, MI",,Myself and the Michigan Legislative Retirement System,Myself and Michigan Legislative Retirement System 
jacklyn s rosen,"Rosen Family
 Limited Partnership
 
 Company: Rosen Family Limited
 Partnership (Henderson,
 NV) Description: Investment Entity",NV,"Rosen Family
  Limited Partnership",Rosen Family 
jacklyn s rosen,"Rosen Family
 Limited Partnership
 
 Company: Rosen Family Limited
 Partnership (Henderson,
 NV) Description: Investment Entity",NV,"Rosen Family
  Limited Partnership",Rosen Family 
Jacklyn S Rosen,"Rosen Family Limited Partnership
 Henderson, NV",NV,Rosen Family Limited Partnership,Rosen Family Limited
james e risch,"Notes Owed by
 American Trailer Sales Co.
 Company: American Trailer Sales Co.
 (Boise, ID)",ID,"Notes Owed by
  American Trailer Sales Co.",American Trailer Sales
James E Risch,"Black Angus Farms LLC
 Boise, ID",ID,Black Angus Farms LLC,Black Angus
james e risch,"Black Angus Farms
 LLC
 
 Company: Black Angus Farms (Boise,
 Idaho) Description: Farming, ranching, property
 holding company",ID,"Black Angus Farms
  LLC",Black Angus Farms
james e risch,"Capital City
 Management LLC (5400 South Cole Road, Boise, ID 83709)
 
 Company: Capital City Management LLC
 (Boise, ID) Description: Real Estate Holding
 Company",ID,"Capital City Management LLC (5400 South Cole Road, Boise, ID 83709)",Capital City Management 
james e risch,"JR & JR
 Properties LLC
 
 Company: JR & JR Properties LLC
 (Boise, ID) Description: Real estate
 holding.",ID,JR & JR Properties LLC,JR & JR Properties
James E Risch,"JR & JR Properties LLC
 Boise , ID",ID,JR & JR Properties LLC,JR & JR Properties 
james e risch,"40+ Acres Land,
 Ada County, ID
 Description: Currently Operated as Farm
 and Ranch Land (Ada County, ID)",ID,"40+ Acres Land,",NA
james e risch,"40 +/- Acres Land,
 Canyon County, ID
 Description: Currently Operated as Farm
 and Ranch Land (Canyon County, ID)",ID,"40 +/- Acres Land,",NA
james e risch,"160 +/- Acres
 Land, Ada County, ID
 Description: Currently Operated as Farm
 and Ranch Land (Ada County, ID)",ID,"160 +/- Acres
  Land",NA
james e risch,"Notes owed by
 Risch for Lt. Gov. Committees Resulting from 2002 Primary Election
 Campaign, Boise, ID
 Company: Risch for Lt. Gov. Committees
 (Boise, ID)",ID,"Notes owed by
  Risch for Lt. Gov. Committees Resulting from 2002 Primary Election
  Campaign, Boise, ID",NA
James E Risch,"RFAM Limited Partnership
 Boise, ID",ID,RFAM Limited Partnership,RFAM
james p lankford,"First Baptist ChurchEl Reno, OK",OK,First Baptist Church,First Baptist Church
james p lankford,"First East Baptist ChurchLawton, OK",OK,First East Baptist Church,First East Baptist Church
james p lankford,"Gateway Community ChurchEdmond, OK",,Gateway Community Church,Gateway Community Church
James P Lankford,"Promise Keepers
 Colorado Springs, Colorado",CO,Promise Keepers,Promise Keepers
james p lankford,"Quail Springs Baptist ChurchOklahoma City, OK",,Quail Springs Baptist Church,Quail Springs Baptist Church
james p lankford,"Seward Road Baptist ChurchGuthrie, OK",,Seward Road Baptist Church,Seward Road Baptist Church
james p lankford,"Speech Language Pathology ServicesEdmond, OK",,Speech Language Pathology Services,Speech Language Pathology Services
james p lankford,"Trinity Baptist ChurchYukon, OK",,Trinity Baptist Church,Trinity Baptist Church
jeanne shaheen,"Real property at
 107 Storrs Street, Concord, NH
 Company: 107 Storrs Street, LLC
 (Concord, NH) Description: Owns commercial
 rental real property Filer comment: Mr. Shaheen has a
 1/10 interest",NH,"107 Storrs Street, LLC",107 Storrs
jeanne shaheen,"903 Central Ave,
 Dover NH
 Company: 903 Central Ave. Associates,
 LLC (Dover, NH) Description: Owns commercial
 rental real property Filer comment: Shaheen
 Enterprises, LLC has a 1/2 interest",NH,"903 Central Ave. Associates,
  LLC",903 Central
jeanne shaheen,"Atlas-Heritage
 Title Company
 Company: Atlas-Heritage Title Co., LLC
 (Dover, NH) Description: Title
 services Filer comment: Shaheen Enterprises LLC has
 had a Â½ interest in this asset.",NH,"Atlas-Heritage
  Title Company",Atlas-Heritage
jeanne shaheen,"Eco-Burner,
 LLC
 Company: Eco-Burner, LLC (Barrington,
 NH) Description: Developing an environmental oil
 burner",NH,"Eco-Burner,
  LLC",Eco-Burner
jeanne shaheen,"Emerald Group
 LLC
 Company: Emerald Group LLC (Madbury,
 NH) Description: Consulting",NH,"Emerald Group
  LLC",Emerald Group
jeanne shaheen,"Emerald Group LLCMadbury, NH",NH,Emerald Group LLC,Emerald Group
jeanne shaheen,"Promissory
 Note
 Company: Shaheen & Gordon, P.A.
 (Dover, NH)",NH,"Promissory
  Note",NA
jeanne shaheen,"Promissory
 Note
 Debtor: Ansel Grandmaison",,"Promissory
  Note",NA
jeanne shaheen,"Route 125
 Associates
 Company: Route 125 Associates (Dover,
 NH) Description: Commercial rental real
 property Filer comment: Shaheen Enterprises, LLC has
 a 1/2 interest",NH,"Route 125
  Associates",Route 125
jeanne shaheen,"Shaheen
 Enterprises, LLC
 
 Company: Shaheen Enterprises, LLC
 (Dover, NH) Description: Holding company of
 NH",NH,"Shaheen
  Enterprises, LLC",Shaheen
jeanne shaheen,"Shaheen
 Enterprises of Maine, LLC
 
 Company: Shaheen Enterprises of Maine,
 LLC (York Beach, ME) Description: Holding
 company",ME,"Shaheen
  Enterprises of Maine, LLC",Shaheen
jeanne shaheen,"Shaheen & GordonDover, NH",,Shaheen & Gordon,Shaheen
jeanne shaheen,"The Salon,
 LLC
 Company: The Salon, LLC (Dover,
 NH) Description: Beauty salon Filer
 comment: Shaheen Enterprises, LLC has a 1/2 interest in The
 Salon. Sold below the reporting threshold on 12/31/2020.",NH,"The Salon,
  LLC",The Salon
jeanne shaheen,"Trela Associates,
 LLC
 
 Company: Trela Associates, LLC (Dover,
 NH) Description: Owns commercial real
 estate",NH,"Trela Associates,
  LLC",Trela 
jeffrey a merkley,"Eye Health NWHappy Valley, OR",OR,Eye Health NW,Eye Health NW
jeffrey a merkley,"Providence HospitalPortland, OR",,Providence Hospital,NA
Jerry Moran,"University of Kansas School of Law, Board of Governors
 Lawrence, KS",KS,"University of Kansas School of Law, Board of Governors",NA
john a barrasso,"Promissory
 Note
 Company: Wyoming Orthopaedics
 Institute, LLC (Casper, WY)",WY,"Wyoming Orthopaedics
  Institute, LLC",Wyoming Orthopaedics
John A Barrasso,"Wyoming Surgical Center, LLC
 Casper, WY",,"Wyoming Surgical Center, LLC",Wyoming Surgical Center
John Cornyn,"Clements Center Statecraft Board
 Austin, Texas",TX,Clements Center Statecraft Board,NA
John Cornyn,"University of Virginia
 Charlottesville, VA",VA,University of Virginia,NA
John Cornyn,"The Kennedy Center
 Washington, DC",DC,The Kennedy Center,NA
John Hoeven,"First Western Bank & Trust
 Minot, North Dakota",ND,First Western Bank & Trust,First Western Bank
john hoeven,"Northwest
 Respiratory Services, LLC
 Company: Northwest Respiratory
 Services, LLC (St Paul,
 Minnesota) Description: Respiratory medical
 equipment and service provider",MN,"Northwest
  Respiratory Services, LLC",Northwest Respiratory
John Hoeven,"Northwest Respiratory Service, LLC
 St Paul, Minnesota",MN,"Northwest Respiratory Service, LLC",Northwest Respiratory
john hoeven,"Tompson-Hoeven
 Partnership
 
 Company: Tompson-Hoeven Partnership
 (Bismarck, North Dakota) Description: Montana
 Farmland Rental",ND,"Tompson-Hoeven
  Partnership",Thompson-Hoeven
John Hoeven,"Tompson-Hoeven Partnership
 Bismarck, North Dakota",ND,Tompson-Hoeven Partnership,Thompson-Hoeven
john n kennedy,"A.P. Kennedy
 Family Securities LLC - JK has 1/3 interest
 
 Company: A.P. Kennedy Family Securities
 LLC (Madisonville,
 LA) Description: LLC Filer
 comment: Investment company/LLC",LA,"A.P. Kennedy
  Family Securities LLC",A.P. Kennedy
John N Kennedy,"A.P. Kennedy Family Securities LLC
 Madisonville, Louisiana",LA,A.P. Kennedy Family Securities LLC,A.P. Kennedy
John N Kennedy,"A.P. Kennedy Family Real Estate LLC
 Madisonville, Louisiana",LA,A.P. Kennedy Family Real Estate LLC,A.P. Kennedy
John N Kennedy,"Allied Builders Supply Inc.
 Madisonville, Louisiana",LA,Allied Builders Supply Inc.,Allied Builders Supply
john n kennedy,"APK Minerals LLC -
 JK has 1/3 interest
 
 Company: APK Minerals LLC (Olympia,
 Washington) Description: LLC",WA,APK Minerals LLC,APK Minerals
John N Kennedy,"APK Minerals LLC
 Madisonville, Louisiana",LA,APK Minerals LLC,APK Minerals
john n kennedy,"First Louisiana
 Investment Properties LLC - JK has 1/3 interest
 
 Company: First Louisiana Investment
 Properties LLC (Madisonville,
 Louisiana) Description: Investment
 Company",LA,"First Louisiana
  Investment Properties LLC",First Louisiana
John N Kennedy,"First Louisiana Investment Properties, LLC
 Madisonville, Louisiana",LA,"First Louisiana Investment Properties, LLC",First Louisiana Investment Properties
john n kennedy,"Greenwave Property
 LLC - 1/3 interest
 
 Company: Greenwave Property LLC
 (Madisonville,
 Louisiana) Description: LLC Filer
 comment: Real estate holding company; this represents gross
 income (wife's share)",LA,Greenwave Property LLC,Greenwave
John N Kennedy,"John Neely Kennedy APLC
 Madisonville, Louisiana",LA,John Neely Kennedy APLC,NA
john n kennedy,"22nd Judicial District CourtCovington, LA",,22nd Judicial District Court,NA
John N Kennedy,"North Parish Development Corporation
 Madisonville, Louisiana",LA,North Parish Development Corporation,North Parish Development
John N Kennedy,"The Oxvirvand Corporation
 Madisonville, Louisiana",LA,The Oxvirvand Corporation,Oxvirand
John N Kennedy,"The Presken Corporation
 Madisonville, Louisiana",LA,The Presken Corporation,Presken
john n kennedy,"RiverNorth
 Institutional Partners, LP
 Company: RiverNorth Institutional
 Partners, LP (Chicago, IL) Description: Limited
 Partnership Filer comment: This is a hedge fund that
 meets the definition",IL,"RiverNorth
  Institutional Partners, LP",RiverNorth
john n kennedy,"Tchoupitoulas
 Property LLC - 1/2 interest
 
 Company: Tchoupitoulas Property LLC
 (Metairie, LA) Description: LLC Filer
 comment: Real estate holding company; this represents gross
 income (wife's share)",LA,"Tchoupitoulas
  Property LLC",Tchoupitoulas
john r thune,"SanfordSioux Falls, SD",,Sanford,Sanford
john w hickenlooper,"Chipotle Mexican Grill, Inc.Newport Beach, CA",CA,"Chipotle Mexican Grill, Inc.",Chipotle Mexican Grill
john w hickenlooper,"GCI Liberty Inc.Englewood, CO",,GCI Liberty Inc.,GCI Liberty
john w hickenlooper,"Liberty Broadband CorporationEnglewood, CO",,Liberty Broadband Corporation,Liberty Broadband 
john w hickenlooper,"Liberty Media CorporationEnglewood, CO",,Liberty Media Corporation,Liberty Media 
john w hickenlooper,"Liberty TripAdvisor Holdings, Inc.Englewood, CO",,"Liberty TripAdvisor Holdings, Inc.",Liberty TripAdvisor Holdings
john w hickenlooper,"Qurate Retail Inc.West Chester, PA",,Qurate Retail Inc.,Qurate Retail
"joseph manchin, iii","A&P,
 LLC
 
 Company: A&P, LLC (Fairmont, West
 Virginia) Description: Commercial property
 investment and management",WV,"A&P,
  LLC",A&P
"joseph manchin, iii","AA Property
 LLC
 
 Company: AA Property LLC (Charleston,
 West Virginia) Description: Commercial property
 investment and management",WV,"AA Property
  LLC",AA Property
"Joseph Manchin, III","AA Property, LLC
 Fairmont, West Virginia",WV,"AA Property, LLC",AA Property
"joseph manchin, iii","Country Roads
 Marine, LLC
 
 Company: Country Road Marine, LLC
 (Charleston, West Virginia) Description: Owner
 of house boat",WV,"Country Roads
  Marine, LLC",Country Roads Marine
"Joseph Manchin, III","Country Roads Marine, LLC
 Charleston, West Virginia",WV,"Country Roads Marine, LLC",Country Roads Marine
"joseph manchin, iii","Farmington
 Resources, Inc. - Note Receivable
 Company: Farmington Resources, Inc.
 (Fairmont, West Virginia)",WV,"Farmington
  Resources, Inc.",Farmington Resources
"joseph manchin, iii","Manchin
 Enterprises
 
 Company: Manchin Enterprises (Fairmont,
 West Virginia) Description: General Partnership
 that own a Commercial Rental property",WV,"Manchin
  Enterprises",Manchin Enterprises
"Joseph Manchin, III","Manchin Enterprises
 Fairmont, West Virginia",WV,Manchin Enterprises,Manchin Enterprises
"joseph manchin, iii","MPM
 Properties
 
 Company: MPM Properties (Fairmont, West
 Virginia) Description: General Partnership that
 owns a piece of real estate",VA,"MPM
  Properties",MPM Properties
"Joseph Manchin, III","MPM Properties
 Fairmont, West Virginia",WV,MPM Properties,MPM Properties
"joseph manchin, iii","PolyPlexx,
 LLC
 Company: PolyPlexx, LLC (Charleston,
 West Virginia) Description: Chemical process
 patents",WV,"PolyPlexx,
  LLC",PolyPlexx
"joseph manchin, iii","VCalc LLC
 Company: VCalc LLC (Frederick,
 Maryland) Description: Social media productivity
 company that is building a calculator for the web and mobile
 devices.",MD,VCalc LLC,VCalc
"joseph manchin, iii","West Virginia
 Growth Investment LLC
 
 Company: West Virginia Growth
 Investment LLC (Charleston,
 WV) Description: Investment fund formed to
 invest in small businesses that operate in and around West
 Virginia Filer comment: Total investment in West
 Virginia Growth Investment LLC is $15,001 - $50,000. Underlying
 assets exceeding $1,000 are reported below.",WV,"West Virginia
  Growth Investment LLC",West Virginia Growth Investment
joshua d hawley,"Cowboy Rose Cattle
 Company LLC
 
 Company: Cowboy Rose Cattle Company LLC
 (Folsom, NM) Description: Ranch-agriculture and
 livestock Filer comment: Spouse holds one-third
 interest.",NM,"Cowboy Rose Cattle
  Company LLC",Cowboy Rose
joshua d hawley,"Guidepoint GlobalNew York, NY",,Guidepoint Global,Guidepoint Global
joshua d hawley,"Independent Women's ForumWashington, DC",,Independent Women's Forum,Independent Women's Forum
joshua d hawley,"Kirkland & EllisWashington, DC",,Kirkland & Ellis,Kirkland
joshua d hawley,"Winecup
 Ranch
 Description: Ranch-agriculture and
 livestock (Folsom, NM) Filer comment: Spouse holds
 1/3 interest in this asset. Asset value is spouse's proportionate
 share.",NM,"Winecup
  Ranch",NA
joshua d hawley,"Curators of the University of MissouriColumbia, MO",,Curators of the University of Missouri,NA
kevin j cramer,"Cramer For CongressBismarck, ND",,Cramer For Congress,NA
Kyrsten Sinema,"Arizona State University
 Phoenix, AZ",AZ,Arizona State University,NA
Kyrsten Sinema,"Sinema Consulting LLC
 Phoenix, AZ",AZ,Sinema Consulting LLC,Sinema Consulting
kyrsten sinema,"Three Sticks WinerySonoma, CA",,Three Sticks Winery,Three Sticks Winery
ladda tammy duckworth,"Foxhole Technology IncFairfax, VA",,Foxhole Technology Inc,Foxhole Technology
lisa a murkowski,"Alaska Permanent
 Fund Dividend
 Description: N/A (N/A,
 N/A)",AK,"Alaska Permanent
  Fund Dividend",NA
lisa a murkowski,"Alaska Permanent
 Fund Dividend
 Description: N/A (N/A,
 N/A)",AK,"Alaska Permanent
  Fund Dividend",NA
Lisa A Murkowski,"U.S. - Japan Friendship Commission
 Washington, DC",DC,U.S. - Japan Friendship Commission,NA
maggie hassan,"Onadune,
 LLC
 
 Company: Onadune, LLC (Boston,
 MA) Description: Shared ownership of rental
 property in RI",MA,"Onadune,
  LLC",Onadune
maggie hassan,"Onadune,
 LLC
 
 Company: Onadune, LLC (Boston,
 MA) Description: Shared ownership of rental
 property in RI",MA,"Onadune,
  LLC",Onadune
Maggie Hassan,"Onadune, LLC
 Boston, MA",MA,"Onadune, LLC",Onadune
maggie hassan,"School Year Abroad, Inc.North Andover, MA",,"School Year Abroad, Inc.",School Year Abroad
marco rubio,"JDR EventsMiami, FL",,JDR Events,JDR Events
Marco Rubio,"Florida International University
 Miami, FL",FL,Florida International University,NA
marco rubio,"Florida International UniversityMiami, FL",,Florida International University,NA
maria cantwell,"Cantwell 2000
 Campaign Loan
 Company: Cantwell 2000 Campaign
 (Seattle, WA) Filer comment: Loan to Senate
 Campaign",WA,"Cantwell 2000
  Campaign Loan",NA
Mark E Kelly,"El Campo Center LLC
 Tucson, AZ",AZ,El Campo Center LLC,El Campo Center
