"a. mitchell mcconnell, jr","AMCP Security
Mark E Kelly,"Kelly Aerospace Consulting LLC
 Tucson, AZ",AZ,Kelly Aerospace Consulting LLC,Kelly Aerospace
mark e kelly,"Lightspeed
 Partners LLC
 Company: Lightspeed Partners LLC
 (Tucson, AZ) Description: Media
 Production",AZ,"Lightspeed
  Partners LLC",Lightspeed Partners
Mark E Kelly,"Lightspeed Partners LLC
 Tucson, AZ",AZ,Lightspeed Partners LLC,Lightspeed Partners 
mark e kelly,"Mal Pais
 Entertainment LLC
 Description: American Esports
 organization (Newark, NJ) Filer comment: Asset
 no longer held.",NJ,"Mal Pais
  Entertainment LLC",Mal Pais Entertainment
mark r warner,"911 King Street
 Associates LLC
 Company: 911 King Street Associates LLC
 (Alexandria, VA) Description: Management
 Company",VA,"911 King Street
  Associates LLC",911 King Street
mark r warner,"Airwest IX
 Warehouse
 Description: Real
 Estate (Plainfield, IN)",IN,"Airwest IX
  Warehouse",Airwest IX Warehouse
mark r warner,"Alexandria NBIS
 Investors, LLC
 
 Company: Alexandria NBIS Investors, LLC
 (Alexandria, VA) Description: Investment
 Company",VA,"Alexandria NBIS
  Investors, LLC",Alexandria NBIS
mark r warner,"Apollo Credit
 Fund, LP
 Description: Private
 Credit (Purchase, NY)",NY,"Apollo Credit
  Fund, LP",Apollo Credit
mark r warner,"Base4 Group,
 Inc.
 Description: Wholesale
 Company (Dallas, TX)",TX,"Base4 Group,
  Inc.",Base4
mark r warner,"BetterCloud
 Description: Cloud Storage
 Company (New York, NY)",NY,BetterCloud,BetterCloud
mark r warner,"BSCP SBIC I,
 LP
 Description: Private
 Credit (Alexandria, VA)",VA,"BSCP SBIC I,
  LP",BSCP SBIC 
mark r warner,"Construction
 Partners, Inc. (dba SunTx CPI Growth Company, Inc.)
 Description: Construction
 Company (Dothan, AL)",AL,"Construction
  Partners, Inc.",Construction Partners
mark r warner,"EB 480 Sprague,
 LLC
 Company: EB 480 Sprague, LLC (Dedham,
 MA) Description: Real Estate",MA,"EB 480 Sprague,
  LLC",EB 480 Sprague
mark r warner,"Empire Petroleum
 Partners LLC
 Company: Empire Petroleum Partners LLC
 (Gaithersburg, MD) Description: Energy
 Company",MD,"Empire Petroleum
  Partners LLC",Empire Petroleum
mark r warner,"EMSG LLC
 Company: EMSG LLC (Rockville,
 MD) Description: Secured Debt",MD,EMSG LLC,EMSG
mark r warner,"Innovation Tech
 Investors, Inc.
 Description: Security Systems
 Company (Earth City, MO) Filer comment: Formerly
 known as Interface Security Holdings, Inc.",MO,"Innovation Tech
  Investors, Inc.",Innovation Tech Investors
mark r warner,"Interface Security
 Holdings, Inc.
 Description: Security Systems
 Company (Earth City, MO) Filer comment:
 Transferred to SunTx Fulcrum Fund, L.P.",MO,"Interface Security
  Holdings, Inc.",Interface Security Holdings
mark r warner,"Interface Security
 Holdings, Inc.
 Description: Security Systems
 Company (Earth City, MO) Filer comment:
 Transferred to SunTx Fulcrum Fund, LP",MO,"Interface Security
  Holdings, Inc.",Interface Security Holdings
Mark R Warner,"The Kennedy Center
 Washington, DC",DC,The Kennedy Center,Kennedy Center
mark r warner,"MRW Biotech
 Investors, LLC
 
 Company: MRW Biotech Investors, LLC
 (Alexandria, VA) Description: Investment
 Company",VA,"MRW Biotech
  Investors, LLC",MRW Biotech
mark r warner,"MRW Home,
 LLC
 
 Company: MRW Home, LLC (Alexandria,
 VA) Description: Disregarded Entity",VA,"MRW Home,
  LLC",MRW Home
mark r warner,"MRW Office,
 LLC
 
 Company: MRW Office, LLC (Alexandria,
 VA) Description: Disregarded Entity",VA,"MRW Office,
  LLC",MRW Office
mark r warner,"MSR-EB Waterfront
 Venture LLC (The Pointe at Stono Shores)
 Company: MSR-EB Waterfront Venture LLC
 (Charleston, SC) Description: Real
 Estate",SC,"MSR-EB Waterfront
  Venture LLC",MSR-EB Waterfront
mark r warner,"Murray Bonitt
 Receivable
 Debtor: Murray Bonitt",,"Murray Bonitt
 Receivable",NA
mark r warner,"Residence at North
 Penn
 Description: Real
 Estate (Stamford, CT)",CT,"Residence at North
  Penn",NA
Mark R Warner,"Collis Warner Foundation
 Alexandria, VA",VA,Collis Warner Foundation,NA
mark r warner,"NationsBuilders
 Insurance Services, Inc.
 Description: Insurance
 Company (Atlanta, GA)",GA,"NationsBuilders
  Insurance Services, Inc.",NationsBuilders
mark r warner,"Park Group,
 Inc.
 Description: Insurance
 Company (Dallas, TX)",TX,"Park Group,
  Inc.",Park Group 
mark r warner,"Revival LOC,
 LLC
 Description: Line of Credit -
 Manufacturer (Springfield, NJ)",NJ,Revival LOC,Revival 
mark r warner,"TZG-Sachs Empire
 LLC
 
 Company: TZG-Sachs Empire LLC
 (Rockville, MD) Description: Investment
 Fund",MD,"TZG-Sachs Empire
  LLC",TZG-Sachs
mark r warner,"Vista Credit
 Partners Fund III, LP
 Description: Private
 Credit (Oakland, CA)",CA,"Vista Credit
  Partners Fund III, LP",Vista Credit
mark r warner,"West Deptford
 Energy Holdings, LLC
 Company: West Deptford Energy Holdings,
 LLC (New York, NY) Description: Energy
 Company",NY,"West Deptford
  Energy Holdings, LLC",West Deptford Energy
mark r warner,"Wilton GSE
 LLC
 Company: Wilton GSE LLC (Wilton,
 CT) Description: Real Estate",CT,"Wilton GSE
  LLC",Wilton GSE
marsha blackburn,"Strategic Sales Tactics IncBrentwood, TN",,Strategic Sales Tactics Inc,Strategic Sales Tactics
martin heinrich,"Meow Wolf, Inc.Santa Fe, NM",,"Meow Wolf, Inc.",Meow Wolf 
martin heinrich,"Powell TateWashington, DC",,Powell Tate,Powell Tate
Mazie K Hirono,"Hawaii Employees Retirement System
 Honolulu, HI",,Hawaii Employees Retirement System,Hawaii Employees Retirement Systems
mazie k hirono,"Oshima &
 Itomura, AAL, ALC
 
 Description: Law Firm (Honolulu,
 HI)",HI,"Oshima &
  Itomura, AAL, ALC",Oshima & Itomura
mazie k hirono,"Oshima, Itomura & Fujimoto, AAL, ALCHONOLULU, HAWAII",,"Oshima, Itomura & Fujimoto, AAL","Oshima, Itomura & Fujimoto"
michael d crapo,"Biominetix JV
 LLC
 Company: Biominetix JV LLC (Englewood,
 Colorado) Description: Funds research and
 clinical trials on a new class of drugs,
 metalloporthyrins. Filer comment: Business did not
 generate any income.",CO,"Biominetix JV
  LLC",Biominetix
michael d crapo,"Crapo Enterprises
 LLC
 
 Company: Crapo Enterprises LLC
 (Bountiful, UT) Description: Business entity
 that holds residential property",UT,"Crapo Enterprises
  LLC",Crapo
Michael D Crapo,"Crapo Enterprises LLC
 Bountiful, UT",UT,Crapo Enterprises LLC,Crapo
Michael D Crapo,"Crapo Estate Holdings LLC
 Idaho Falls, ID",ID,Crapo Estate Holdings LLC,Crapo
michael d crapo,"Crapo Estate
 Holdings LLC
 
 Company: Crapo Estate Holdings LLC
 (Idaho Falls, ID) Description: Business entity
 that holds ranchland",ID,"Crapo Estate
  Holdings LLC",Crapo 
michael d crapo,"Crapo Victory CommitteeWashington, DC",,Crapo Victory Committee,NA
michael d crapo,"Pharma Partners
 LLC
 
 Company: Pharma Partners LLC
 (Englewood, Colorado) Description: Funds
 research and clinical trials on a new class of drugs,
 metalloporphyrins.",CO,"Pharma Partners
  LLC",Pharma Partners
Michael D Crapo,"Pharma Partners, LLC
 Englewood, Colorado",CO,"Pharma Partners, LLC",Pharma Partners
michael f bennet,"Continuum Real
 Estate Investors 2016, LLC
 
 Company: Continuum Real Estate
 Investors 2016, LLC (Denver,
 CO) Description: Commercial Real
 Estate",CO,"Continuum Real
  Estate Investors 2016, LLC",Continuum Real Estate Investors
michael f bennet,"Madeira Capital
 Investments Limited
 
 Company: Madeira Capital Investments
 Limited (Ebene, Muritius
 (India)) Description: Private Equity -
 Retail",INDIA,"Madeira Capital
  Investments Limited",Madeira Capital Investments
michael f bennet,"Daggett Farms
 Limited Partnership
 Description: 1500 acre family farm
 (Marianna, AR) Filer comment: 9.42% limited
 partnership",AR,"Daggett Farms
  Limited Partnership",NA
michael f bennet,"LMD Farms Limited
 Partnership
 Description: 1500 acre family farm
 (Marianna, AR) Filer comment: 8.97% limited
 partnership",AR,"LMD Farms Limited
  Partnership",NA
michael f bennet,"More
 Description: Grocery Chain (Ebene,
 Muritius (India))",INDIA,"Grocery Chain (Ebene,
  Muritius (India))",NA
michael f bennet,"University of Denver Law SchoolDenver, CO",,University of Denver Law School,NA
Michael S Lee,"Howrey LLP
 Salt Lake City, UT",,Howrey LLP,Howrey
michael s lee,"Self EmployedProvo, UT",,Self Employed,NA
mike braun,"Finishing TouchesJasper, IN",IN,Finishing Touches,Finishing Touches
mike braun,"Maple Land, LLC
 (50% ownership)
 
 Company: Maple Land, LLC (Owensville,
 IN) Description: Farming",IN,"Maple Land, LLC",Maple Land 
Mike Braun,"Maple Land Co LLC
 Haubstadt, Indiana",IN,Maple Land Co LLC,Maple Land 
mike braun,"Norman
 Contract
 Debtor: Charles & Betty
 Norman",,"Norman
  Contract",NA
mike rounds,"Aeronics,
 Inc
 Company: Aeronics, Inc (Austin,
 TX) Description: Equipment
 Manufacturing",TX,"Aeronics,
  Inc",Aeronics 
mike rounds,"Bird Dog
 Hospitality Fund I, LLC
 
 Company: Bird Dog Hospitality Fund I,
 LLC (Sioux Falls, SD) Description: Business
 Entity which holds underlying assets. Filer comment:
 This asset name was previously listed as Bird Dog Hospitality Fund
 in last years filing. The asset name was only changed to reflect a
 more accurate description",SD,"Bird Dog
  Hospitality Fund I, LLC",Bird Dog Hospitality 
mike rounds,"Bird Dog
 Hospitality I, LLC
 
 Company: Bird Dog Hospitality I, LLC
 (Sioux Falls, SD) Description: Business Entity
 which holds underlying asset",SD,"Bird Dog
  Hospitality I, LLC",Bird Dog Hospitality 
mike rounds,"Bird Dog
 Hospitality II, LLC
 
 Company: Bird Dog Hospitality II, LLC
 (Sioux Falls, SD) Description: Business Entity
 which holds underlying asset",SD,"Bird Dog
  Hospitality II, LLC",Bird Dog Hospitality 
mike rounds,"Bird Dog
 Hospitality III, LLC
 
 Company: Bird Dog Hospitality III, LLC
 (Sioux Falls, SD) Description: Business Entity
 which holds underlying asset",SD,"Bird Dog
  Hospitality III, LLC",Bird Dog Hospitality 
mike rounds,"Bird Dog
 Hospitality IV, LLC
 
 Company: Bird Dog Hospitality IV, LLC
 (Sioux Falls, SD) Description: Business Entity
 which holds underlying asset",SD,"Bird Dog
  Hospitality IV, LLC",Bird Dog Hospitality 
mike rounds,"Bird Dog
 Hospitality V, LLC
 
 Company: Bird Dog Hospitality V, LLC
 (Sioux Falls, SD) Description: Business Entity
 which holds underlying asset",SD,"Bird Dog
  Hospitality V, LLC",Bird Dog Hospitality 
mike rounds,"Bird Dog
 Hospitality Fund II, LLC
 
 Company: Bird Dog Hospitality Fund II,
 LLC (Sioux Falls, SD) Description: Business
 Entity which holds underlying asset",SD,"Bird Dog Hospitality Fund II,
  LLC",Bird Dog Hospitality 
mike rounds,"BDH2 -
 Marshall
 
 Company: Bird Dog Hospitality 2 (Sioux
 Falls, SD) Description: Business Entity which
 holds underlying asset",SD,Bird Dog Hospitality 2,Bird Dog Hospitality 
mike rounds,"BDH2 -
 Valentine
 
 Company: Bird Dog Hospitality 2 (Sioux
 Falls, SD) Description: Business Entity which
 holds underlying asset",SD,Bird Dog Hospitality 2,Bird Dog Hospitality 
mike rounds,"BDH2 - New
 Ulm
 
 Company: Bird Dog Hospitality 2 (Sioux
 Falls, SD) Description: Business Entity which
 holds underlying asset",SD,Bird Dog Hospitality 2,Bird Dog Hospitality 
mike rounds,"BDH2 -
 Shoreview
 
 Company: Bird Dog Hospitality 2 (Sioux
 Falls, SD) Description: Business Entity which
 holds underlying asset",SD,Bird Dog Hospitality 2,Bird Dog Hospitality 
Mike Rounds,"Bird Dog Hospitality Fund II
 Sioux Falls, SD",SD,Bird Dog Hospitality Fund II,Bird Dog Hospitality 
mike rounds,"Bird Dog LLU,
 LLC
 Company: Bird Dog LLU, LLC (Sioux
 Falls, SD) Description: Marketing
 Company",SD,"Bird Dog LLU,
  LLC",Bird Dog LLU
Mike Rounds,"Bird Dog Hospitality Fund I
 Sioux Falls, SD",SD,Bird Dog Hospitality Fund I,Bird Dog Hospitality 
mike rounds,"Fashion Audio,
 LLC
 Company: Fashion Audio, LLC (Irvine,
 CA) Description: Audio Equipment
 Sales",CA,"Fashion Audio,
  LLC",Fashion Audio 
mike rounds,"FRA, LLC
 
 Company: FRA, LLC (Pierre,
 SD) Description: Farm ownership",SD,"FRA, LLC","FRA, LLC"
mike rounds,"FRA Farm
 Description: Farm (Pierre,
 SD)",SD,FRA Farm,"FRA, LLC"
Mike Rounds,"FRA, LLC
 Pierre, SD",SD,"FRA, LLC","FRA, LLC"
Mike Rounds,"Lake Sharpe Investments, LLC
 Pierre, SD",SD,"Lake Sharpe Investments, LLC",Lake Sharpe Investments
mike rounds,"Lake Sharpe
 Investments, LLC
 
 Company: Lake Sharpe Investments, LLC
 (Pierre, SD) Description: Investments (Assets
 Below)",SD,"Lake Sharpe
  Investments, LLC",Lake Sharpe Investments 
mike rounds,"Locals Love Us,
 LLC
 Company: Locals Love Us, LLC (Sioux
 Falls, SD) Description: Business Advertisement
 and Marketing",SD,"Locals Love Us,
  LLC",Locals Love Us 
mike rounds,"Nordic Venture
 Partners Fund II, LLC
 
 Company: Nordic Venture Partners Fund,
 II (Sioux Falls,
 SD) Description: Investments",SD,"Nordic Venture
  Partners Fund II, LLC",Nordic Venture
mike rounds,"Novita,
 LLC
 Company: Novita, LLC (Brookings,
 SD) Description: Agriculture Technology - animal
 nutrition production",SD,"Novita,
  LLC",Novita 
mike rounds,"Roundtable
 Farm
 Description: Farmland (Lyman County,
 SD) Filer comment: (Underlying asset to Roundtable,
 LLC)",SD,"Roundtable
  Farm",Roundtable Farm
Mike Rounds,"Roundtable, LLC
 Fort Pierre/Lyman County, SD",SD,"Roundtable, LLC",Roundtable Farm
mike rounds,"Roundtable,
 LLC
 
 Company: Roundtable, LLC (Fort Pierre,
 SD) Description: Farm",SD,"Roundtable,
  LLC",Roundtable Farm
Patrick J Leahy,"World Hunger Year
 New York, New York",NY,World Hunger Year,World Hunger Year
patrick j toomey,"BPG Investment
 Partnership IX, L.P. (Fund IX)
 Company: Equus Capital Partners, Ltd.
 (Newtown Square, PA) Description: Closed end
 private equity real estate fund",PA,BPG Investment,BPG Investment
patrick j toomey,"Equus Investment
 Partnership X, L.P.
 Company: Equus Capital Partners, Ltd.
 (Newtown Square, PA) Description: Closed end
 private equity real estate fund",PA,"Equus Investment
  Partnership X, L.P.",Equus Capital Partners
Patrick J Toomey,"N-35727, Inc.
 Allentown, PA",PA,"N-35727, Inc.",N-35727
patrick j toomey,"Personal Loan to
 S. Toomey
 Debtor: Steve Toomey",,"Personal Loan to
  S. Toomey",NA
patrick j toomey,"Personal Loan to
 Old Mill Partners
 Company: Old Mill Partners (Allentown,
 PA)",PA,Old Mill Partners,NA
patrick j toomey,"Personal Loan #2
 to Old Mill Partners
 Company: Old Mill Partners (Allentown,
 PA)",PA,Old Mill Partners,NA
patrick j toomey,"Old Mill
 Partners
 
 Company: Old Mill Partners (Allentown,
 PA) Description: Real estate limited
 partnership. Filer comment: Through this partnership,
 Sen. Toomey and his wife are sole owners of a home and a separate
 plot of undeveloped land on Block Island, RI.",PA,"Old Mill
  Partners",Old Mill Partners
Patrick J Toomey,"Old Mill Partners
 Allentown, PA",PA,Old Mill Partners,Old Mill Partners
patrick j toomey,"Patriot Financial
 Partners II
 Company: Patriot Financial Partners,
 L.P. (Philadelphia, PA) Description: A closed
 private equity fund which invests in small banks",PA,"Patriot Financial Partners,
  L.P.",Patriot Financial
patrick j toomey,"SRI Capital Fund
 I, L.P.
 
 Company: SRI Capital (Philadelphia,
 PA) Description: Venture capital fund that
 invests in startup technology companies.",PA,"SRI Capital Fund
  I, L.P.",SRI Capital 
patrick j toomey,"St Thomas More ParishAllentown, PA",,St Thomas More Parish,St Thomas More Parish
Rafael E Cruz,"CEP Investments Holdings Limited
 Kingston, Jamaica",JAMAICA,CEP Investments Holdings Limited,CEP Investments 
rafael e cruz,"Goldman Sachs and CoJersey City, NJ",NJ,Goldman Sachs and Co,Goldman Sachs
rafael e cruz,"Loan to Ted Cruz
 for Senate
 Company: Ted Cruz for Senate (Austin,
 Texas)",TX,"Loan to Ted Cruz
  for Senate",NA
Rand Paul,"Alchemy, LLC
 Bowling Green, KY",KY,"Alchemy, LLC",Alchemy
rand paul,"Alchemy,
 LLC
 
 Company: Alchemy, LLC (Bowling Green,
 KY) Description: real estate",KY,"Alchemy,
  LLC",Alchemy 
rand paul,"Carona
 Limited
 
 Company: Carona Limited (Lake Jackson,
 TX) Description: Rental property.",TX,"Carona
  Limited",Carona
rand paul,"CHANDLER REAL
 ESTATE PARTNERS XV LP
 Company: CHANDLER REAL ESTATE PARTNERS
 XV LP (Newport News, VA) Description: Investment
 in rental real estate",VA,"CHANDLER REAL
  ESTATE PARTNERS XV LP",Chandler Real Estate
rand paul,"Chandler Real
 Estate Partners XIV LP
 Company: Chandler Real Estate Partners
 XIV LP (Newport News,
 VA) Description: Investment in rental real
 estate",VA,"Chandler Real
  Estate Partners XIV LP",Chandler Real Estate
rand paul,"Chandler Real
 Estate Partners XIII LP
 Company: Chandler Real Estate Partners
 XIII LP (Newport News,
 VA) Description: Investment in rental real
 estate",VA,"Chandler Real
  Estate Partners XIII LP",Chandler Real Estate
rand paul,"Chandler Real
 Estate Partners XIX LP
 Company: Chandler Real Estate Partners
 XIX LP (Newport News,
 VA) Description: Investment in rental real
 estate",VA,"Chandler Real
  Estate Partners XIX LP",Chandler Real Estate
rand paul,"Chase Heritage
 Partners LP
 Company: Chase Heritage Partners LP
 (Newport News, VA) Description: Investment in
 rental real estate",VA,"Chase Heritage
  Partners LP",Chase Heritage
rand paul,"Receivable from
 Judgement Proceeds
 Debtor: Civil lawsuit damage
 award",,"Receivable from
  Judgement Proceeds",NA
rand paul,"The Strategy Group for Media IncDelaware, OH",,The Strategy Group for Media Inc,Strategy Group for Media
Raphael Warnock,"Ebenezer Baptist Church
 Atlanta, GA",GA,Ebenezer Baptist Church,Ebenezer Baptist Church
raphael warnock,"Ebenezer Baptist ChurchAtlanta, GA",GA,Ebenezer Baptist Church,Ebenezer Baptist Church
Raphael Warnock,"Georgia Interfaith Public Policy Center, Inc.
 Atlanta, GA",GA,"Georgia Interfaith Public Policy Center, Inc.",Georgia Interfaith 
Raphael Warnock,"GeorgiaALIVE
 Atlanta, GA",GA,GeorgiaALIVE,GeorgiaALIVE
raphael warnock,"Grain CapitalSarasota, FL",,Grain Capital,Grain Capital
Raphael Warnock,"Martin Luther King, Sr. Resources Collaborative
 Atlanta, GA",GA,"Martin Luther King, Sr. Resources Collaborative",Martin Luther King
Raphael Warnock,"Martin Luther King, Sr. Resources Collaborative
 Atlanta, GA",GA,"Martin Luther King, Sr. Resources Collaborative",Martin Luther King
raphael warnock,"Mt. Ennon Baptist Church TWBClinton, MD",,Mt. Ennon Baptist Church TWB,Mt. Ennon Baptist Church
raphael warnock,"Syracuse UniversitySyracuse, NY",,Syracuse University,NA
Raphael Warnock,"New Georgia Project
 Atlanta, GA",GA,New Georgia Project,New Georgia
raymond j tester,"Farmland
 Description: Family Farm Land (Big
 Sandy, MT)",MT,Farmland,NA
raymond j tester,"T-Bone Farms,
 Inc.
 Description: Farm Equipment and House
 (Big Sandy, MT)",MT,"T-Bone Farms,
  Inc.",T-Bone Farms
Raymond J Tester,"T-Bone Farms, Inc.
 Big Sandy, MT",MT,"T-Bone Farms, Inc.",T-Bone Farms
raymond j tester,"T-Bone Farms, Inc.Big Sandy, MT",,"T-Bone Farms, Inc.",T-Bone Farms
raymond j tester,"T-Bone Farms, Inc.Big Sandy, MT",,"T-Bone Farms, Inc.",T-Bone Farms
Richard C Shelby,"Tuscaloosa Title Company, Inc.
 Tuscaloosa, AL",AL,"Tuscaloosa Title Company, Inc.",Tuscaloosa Title Company
rick scott,"218 Maryland
 LLC
 
 Company: 218 Maryland LLC (Washington,
 DC) Description: Holding company",DC,"218 Maryland
  LLC",218 Maryland
rick scott,"Account Receivable
 from AG Super Fund, L.P.
 Company: AG Super Fund, L.P. (New York,
 NY)",NY,"AG Super Fund, L.P.",AG Super Fund
rick scott,"Account Receivable
 from AJ 2 Elliott LLC
 Company: AJ 2 Elliott LLC (New York,
 NY)",NY,AJ 2 Elliott LLC,AJ 2 Elliott
rick scott,"AJ 3 LLC
 
 Company: AJ 3 LLC (New York,
 NY) Description: Investment holding
 company",NY,AJ 3 LLC,AJ 3
rick scott,"AJ 3 LLC
 
 Company: AJ 3 LLC (New York,
 NY) Description: Investment holding
 company",NY,AJ 3 LLC,AJ 3
rick scott,"AJ I Gainline
 LLC
 
 Company: AJ I Gainline LLC (New York,
 NY) Description: Investment holding
 company",NY,"AJ I Gainline
  LLC",AJ I Gainline
rick scott,"AJ I Gainline
 LLC
 
 Company: AJ I Gainline LLC (New York,
 NY) Description: Investment holding
 company",NY,"AJ I Gainline
  LLC",AJ I Gainline
rick scott,"AJ I Gainline
 LLC
 
 Company: AJ I Gainline LLC (New York,
 NY) Description: Investment holding
 company",NY,"AJ I Gainline
  LLC",AJ I Gainline
rick scott,"AJ I Gainline
 LLC
 
 Company: AJ I Gainline LLC (New York,
 NY) Description: Investment holding
 company",NY,"AJ I Gainline
  LLC",AJ I Gainline
rick scott,"Columbia Collier
 Management, LLC
 
 Company: Columbia Collier Management,
 LLC (Naples, FL) Description: Company set up for
 purpose of ownership of airplane Filer comment:
 Ownership interest of company holding one airplane",FL,"Columbia Collier
  Management, LLC",Columbia Collier
rick scott,"DC Westlight
 LLC
 
 Company: DC Westlight LLC (Washington,
 DC) Description: LLC to hold residential real
 property",DC,"DC Westlight
  LLC",DC Westlight
rick scott,"DC Westlight
 LLC
 
 Company: DC Westlight LLC (Washington,
 DC) Description: LLC to hold residential real
 property",DC,"DC Westlight
  LLC",DC Westlight
rick scott,"Fulton Chain
 Acquisition LLC
 
 Company: Fulton Chain Acquisition LLC
 (Rowayton, CT) Description: Investment holding
 company",CT,"Fulton Chain
  Acquisition LLC",Fulton Chain
rick scott,"Fulton Chain
 Acquisition LLC
 
 Company: Fulton Chain Acquisition LLC
 (Rowayton, CT) Description: Investment holding
 company",CT,"Fulton Chain
  Acquisition LLC",Fulton Chain
rick scott,"Promissory
 Note
 Company: L&S Family Entertainment
 LLC (Hendersonville, TN)",TN,"L&S Family Entertainment
  LLC",L&S Family
rick scott,"Promissory
 Note
 Company: L&S Family Entertainment
 LLC (Hendersonville, TN)",TN,"L&S Family Entertainment
  LLC",L&S Family Entertainment
rick scott,"Promissory
 Note
 Company: L&S Family Entertainment
 LLC (Hendersonville, TN)",TN,"L&S Family Entertainment
  LLC",L&S Family Entertainment
rick scott,"Promissory
 Note
 Company: L&S Family Entertainment
 LLC (Hendersonville, TN)",TN,"L&S Family Entertainment
  LLC",L&S Family Entertainment
rick scott,"Account Receivable
 from Legion Partners Special Opportunities, L.P. XII
 Company: Legion Partners Special
 Opportunities, L.P. XII (Los Angeles, California)",CA,"Legion Partners Special
  Opportunities, L.P. XII",Legion Partners
rick scott,"Account Receivable
 from Moab Partners, L.P.
 Company: Moab Partners, L.P. (New York,
 NY)",NY,"Moab Partners, L.P.",Moab Partners
rick scott,"Account receivable
 from Mosquito Control Services, LLC
 Company: Mosquito Control Services, LLC
 (Metairie, LA) Filer comment: Income includes amount
 due received during period",LA,"Mosquito Control Services, LLC",Mosquito Control Services
rick scott,"Account receivable
 from Mosquito Control Services, LLC
 Company: Mosquito Control Services, LLC
 (Metairie, LA)",LA,"Mosquito Control Services, LLC",Mosquito Control Services
rick scott,"Account Receivable
 from AG Super Fund, L.P.
 Company: AG Super Fund, L.P. (New York,
 NY) Filer comment: Income includes amount due
 received during period",NY,"Account Receivable
  from AG Super Fund, L.P.",NA
rick scott,"Account Receivable
 from Nokomis Capital Partners, L.P.
 Company: Nokomis Capital Partners, L.P.
 (Dallas, TX) Filer comment: Income includes amount
 due received during period",TX,"Account Receivable
  from Nokomis Capital Partners, L.P.",NA
rick scott,"Account receivable
 from Mosquito Control Services, LLC
 Company: Mosquito Control Services, LLC
 (Metairie, LA) Filer comment: Income includes amount
 due received during period",LA,"Account receivable
  from Mosquito Control Services, LLC",NA
rick scott,"Promissory
 Note
 Company: L&S Family Entertainment
 LLC (Hendersonville, TN)",TN,"Promissory
  Note",NA
rick scott,"Promissory
 Note
 Company: L&S Family Entertainment
 LLC (Hendersonville, TN)",TN,"Promissory
  Note",NA
rick scott,"Account Receivable
 from Legion Partners Special Opportunities, L.P. XII
 Company: Legion Partners Special
 Opportunities, L.P. XII (Los Angeles, California)",CA,"Account Receivable
  from Legion Partners Special Opportunities, L.P. XII",NA
rick scott,"Account Receivable
 from Moab Partners, L.P.
 Company: Moab Partners, L.P. (New York,
 NY)",NY,"Account Receivable
  from Moab Partners, L.P.",NA
rick scott,"Account Receivable
 from Nokomis Capital Partners, L.P.
 Company: Nokomis Capital Partners, L.P.
 (Dallas, TX)",TX,"Account Receivable
  from Nokomis Capital Partners, L.P.",NA
rick scott,"Account Receivable
 from Rimrock High Income Plus (QP) Fund, L.P.
 Company: Rimrock High Income Plus (QP)
 Fund, L.P. (Irvine, California)",CA,"Account Receivable
  from Rimrock High Income Plus (QP) Fund, L.P.",NA
rick scott,"Account Receivable
 from AG Super Fund, L.P.
 Company: AG Super Fund, L.P. (New York,
 NY)",NY,"Account Receivable
  from AG Super Fund, L.P.",NA
rick scott,"Account Receivable
 from Legion Partners Special Opportunities, L.P. XII
 Company: Legion Partners Special
 Opportunities, L.P. XII (Los Angeles, California)",CA,"Account Receivable
  from Legion Partners Special Opportunities, L.P. XII",NA
rick scott,"Account Receivable
 from Moab Partners, L.P.
 Company: Moab Partners, L.P. (New York,
 NY)",NY,"Account Receivable
  from Moab Partners, L.P.",NA
rick scott,"Account Receivable
 from Nokomis Capital Partners, L.P.
 Company: Nokomis Capital Partners, L.P.
 (Dallas, TX)",TX,"Account Receivable
  from Nokomis Capital Partners, L.P.",NA
rick scott,"Account Receivable
 from Rimrock High Income Plus (QP) Fund, L.P.
 Company: Rimrock High Income Plus (QP)
 Fund, L.P. (Irvine, California)",CA,"Account Receivable
  from Rimrock High Income Plus (QP) Fund, L.P.",NA
rick scott,"Account Receivable
 from AG Super Fund, L.P.
 Company: AG Super Fund, L.P. (New York,
 NY)",NY,"Account Receivable
  from AG Super Fund, L.P.",NA
