"a. mitchell mcconnell, jr","AMCP Security
rick scott,"Account Receivable
 from Legion Partners Special Opportunities, L.P. XII
 Company: Legion Partners Special
 Opportunities, L.P. XII (Los Angeles, California)",CA,"Account Receivable
  from Legion Partners Special Opportunities, L.P. XII",NA
rick scott,"Account Receivable
 from Moab Partners, L.P.
 Company: Moab Partners, L.P. (New York,
 NY)",NY,"Account Receivable
  from Moab Partners, L.P.",NA
rick scott,"Account Receivable
 from Nokomis Capital Partners, L.P.
 Company: Nokomis Capital Partners, L.P.
 (Dallas, TX)",TX,"Account Receivable
  from Nokomis Capital Partners, L.P.",NA
rick scott,"Account Receivable
 from Rimrock High Income Plus (QP) Fund, L.P.
 Company: Rimrock High Income Plus (QP)
 Fund, L.P. (Irvine, California)",CA,"Account Receivable
  from Rimrock High Income Plus (QP) Fund, L.P.",NA
rick scott,"Loan to Cathy
 Gellatly
 Debtor: Cathy Gellatly",,"Loan to Cathy
  Gellatly",NA
rick scott,"Redemption from AG
 Super Fund, L.P.
 Company: AG Super Fund, L.P. (New York,
 NY)",NY,"Redemption from AG
  Super Fund, L.P.",NA
rick scott,"Account Receivable
 from Nokomis Capital Partners, L.P.
 Company: Nokomis Capital Partners, L.P.
 (Dallas, TX)",TX,"Nokomis Capital Partners, L.P.",Nokomis
rick scott,"Account Receivable
 from Pharmaca Investments, LLC
 Company: Pharmaca Investments, LLC
 (Rowayton, CT)",CT,"Pharmaca Investments, LLC",Pharmaca
rick scott,"Pharmaca
 Investments, LLC
 
 Company: Pharmaca Investments, LLC
 (Rowayton, CT) Description: Investment holding
 company",CT,"Pharmaca
  Investments, LLC",Pharmaca
rick scott,"Promissory
 Note
 Company: Pharmaca Investments, LLC
 (Rowayton, CT)",CT,"Promissory
  Note",Pharmaca Investments
rick scott,"Pharmaca
 Investments, LLC
 
 Company: Pharmaca Investments, LLC
 (Rowayton, CT) Description: Investment holding
 company",CT,"Pharmaca
  Investments, LLC",Pharmaca Investments
rick scott,"Pharmaca
 Investments, LLC
 
 Company: Pharmaca Investments, LLC
 (Rowayton, CT) Description: Investment holding
 company",CT,"Pharmaca
  Investments, LLC",Pharmaca Investments
rick scott,"Refundable Club
 Deposit 2
 Company: Red Sky (Wolcott,
 CO) Filer comment: Included for purposes of
 completeness.",CO,"Refundable Club
  Deposit 2
  Red Sky",Red Sky
rick scott,"Richard L. And F.
 Annette Scott Family Partnership, Ltd.
 
 Company: Richard L. And F. Annette
 Scott Family Partnership, Ltd. (Naples,
 FL) Description: Investment Limited
 Partnership",FL,"Richard L. And F.
  Annette Scott Family Partnership, Ltd.",Richard L and F Annette Scott Family Partnership
rick scott,"RLSI-CSP Capital
 Partners, LLC
 
 Company: RLSI-CSP Capital Partners, LLC
 (Rowayton, CT) Description: Investment holding
 company",CT,"RLSI-CSP Capital
  Partners, LLC",RLSI-CSP Captial
rick scott,"RLSI-CSP Capital
 Partners, LLC
 
 Company: RLSI-CSP Capital Partners, LLC
 (Rowayton, CT) Description: Investment holding
 company",CT,"RLSI-CSP Capital
  Partners, LLC",RLSI-CSP Captial
rick scott,"RLSI-CSP Capital
 Partners, LLC
 
 Company: RLSI-CSP Capital Partners, LLC
 (Rowayton, CT) Description: Investment holding
 company",CT,"RLSI-CSP Capital
  Partners, LLC",RLSI-CSP Captial Partners
rick scott,"RLSI-EMIDA Capital
 Partners, LLC
 
 Company: RLSI-EMIDA Capital Partners,
 LLC (Rowayton, CT) Description: Investment
 holding company",CT,"RLSI-EMIDA Capital
  Partners, LLC",RLSI-EMIDA
rick scott,"Account Receivable
 from RLSI-EMIDA Capital Partners, LLC
 Company: RLSI-EMIDA Capital Partners,
 LLC (Rowayton, CT)",CT,"RLSI-EMIDA Capital Partners, LLC",RLSI-EMIDA
rick scott,"RLSI-EMIDA Capital
 Partners, LLC
 
 Company: RLSI-EMIDA Capital Partners,
 LLC (Rowayton, CT) Description: Investment
 holding company",CT,"RLSI-EMIDA Capital
  Partners, LLC",RLSI-EMIDA Capital
rick scott,"RLSI-EMIDA Capital
 Partners, LLC
 
 Company: RLSI-EMIDA Capital Partners,
 LLC (Rowayton, CT) Description: Investment
 holding company",CT,"RLSI-EMIDA Capital
  Partners, LLC",RLSI-EMIDA Capital Partners
rick scott,"Refundable Club
 Deposit 1
 Company: Royal Poinciana (Naples,
 FL) Filer comment: Included for purposes of
 completeness.",FL,"Refundable Club
  Deposit 1
  Company: Royal Poinciana",Royal Poinciana
rick scott,"S&S Equity
 Partners I LLC
 
 Company: S&S Equity Partners I LLC
 (Rowayton, CT) Description: Investment holding
 company",CT,"S&S Equity
  Partners I LLC",S&S Equity
rick scott,"S&S Equity
 Partners I LLC
 
 Company: S&S Equity Partners I LLC
 (Rowayton, CT) Description: Investment holding
 company",CT,"S&S Equity
  Partners I LLC",S&S Equity
rick scott,"S&S Equity
 Partners I LLC
 
 Company: S&S Equity Partners I LLC
 (Rowayton, CT) Description: Investment holding
 company",CT,"S&S Equity
  Partners I LLC",S&S Equity Partners
rick scott,"S&S Sports,
 LLC
 
 Company: S&S Sports, LLC (Rowayton,
 CT) Description: Investment holding
 company",CT,"S&S Sports,
  LLC",S&S Sports
rick scott,"S&S Sports,
 LLC
 
 Company: S&S Sports, LLC (Rowayton,
 CT) Description: Investment holding
 company",CT,"S&S Sports,
  LLC",S&S Sports
rick scott,"S&S Sports,
 LLC
 
 Company: S&S Sports, LLC (Rowayton,
 CT) Description: Investment holding
 company",CT,"S&S Sports,
  LLC",S&S Sports
rick scott,"Valterra Products
 Holdings, LLC
 Company: Valterra Products Holdings,
 LLC (Mission Hills,
 CA) Description: Manufacturing and products
 supplier",CA,"Valterra Products
  Holdings, LLC",Valterra
rick scott,"Valterra Products
 Holdings, LLC
 Company: Valterra Products Holdings,
 LLC (Mission Hills,
 CA) Description: Manufacturing and products
 supplier",CA,"Valterra Products
  Holdings, LLC",Valterra
rick scott,"Valterra Products
 Holdings, LLC
 Company: Valterra Products Holdings,
 LLC (Mission Hills,
 CA) Description: Manufacturing and products
 supplier",CA,"Valterra Products
  Holdings, LLC",Valterra
rick scott,"VCA TCG Holdings,
 LLC
 Company: VCA TCG Holdings, LLC
 (Wilmington, DE) Description: Professional
 engineering and consulting services",DE,"VCA TCG Holdings,
  LLC",VCA TCG
rick scott,"VCA TCG Holdings,
 LLC
 Company: VCA TCG Holdings, LLC
 (Wilmington, DE) Description: Professional
 engineering and consulting services",DE,"VCA TCG Holdings,
  LLC",VCA TCG
rick scott,"VCA TCG Holdings,
 LLC
 Company: VCA TCG Holdings, LLC
 (Wilmington, DE) Description: Professional
 engineering and consulting services",DE,"VCA TCG Holdings,
  LLC",VCA TCG
robert j portman,"Member Interest in
 Lebanon House, Inc.
 
 Company: Lebanon House, Inc.
 (Cincinnati, OH) Description: Rental Property
 and Other Investment",OH,"Lebanon House, Inc.",Lebanon House 
Robert J Portman,"John Glenn College of Public Affairs at The Ohio State
 University
 Columbus, OH",OH,"John Glenn College of Public Affairs at The Ohio State
  University",NA
Robert J Portman,"Peavler LLC
 Cincinnati, OH",OH,Peavler LLC,Peavler
robert j portman,"Member Interest in
 Peavler, LLC
 
 Company: Peavler, LLC (Erlanger,
 Kentucky) Description: Rental
 Property",KY,"Peavler, LLC",Peavler 
robert j portman,"Lebanon House,
 Inc. Other
 Company: Rock Hospitality, LLC
 (Lebanon, OH) Description: Investment in
 Business, The Golden Lamb Filer comment: The income
 listed is gross receipts, not net income or profit. Profit was
 reinvested in the business.",OH,"Rock Hospitality, LLC",Rock Hospitality
Robert J Portman,"Shaker Properties LTD
 Cincinnati, OH",OH,Shaker Properties LTD,Shaker Properties
robert j portman,"Member Interest in
 Shaker Properties, Ltd
 
 Company: Shaker Properties, Ltd
 (Cincinnati, Ohio) Description: Rental
 Property",OH,"Shaker Properties, Ltd",Shaker Properties 
robert j portman,"Member Interest in
 Turkey Bottom Farm LLC
 
 Company: Turkey Bottom Farm LLC
 (Oregonia, Ohio) Description: Farm & Rental
 Property",OH,Turkey Bottom Farm LLC,Turkey Bottom
Robert J Portman,"Turkey Bottom Farm LLC
 Oregonia, OH",OH,Turkey Bottom Farm LLC,Turkey Bottom
"Robert P Casey, Jr","Lackawanna County Bar Association
 Scranton, PA",PA,Lackawanna County Bar Association,NA
"robert p casey, jr","Drexel UniversityPhiladelphia, PA",,Drexel University,NA
roger f wicker,"CTECBX -
 CTECBX
 Description: global asset management
 and investment advisory division of Guggenheim
 Partners (Chicago, IL)",IL,CTECBX,CTECBX
roger f wicker,"Vision to LearnLos Angeles, CA",,Vision to Learn,Vision to Learn
roger w marshall,"Club West of Great
 Bend LLC, 4% Interest
 Company: Club West of Great Bend LLC
 (Great Bend, KS) Description: Management of
 swimming pool",KS,"Club West of Great
  Bend LLC",Club West of Great Bend 
roger w marshall,"GBRH Properties
 2009, LLC, 14% Interest
 Company: GBRH Properties 2009, LLC, 14%
 Interest (Great Bend, KS) Description: Building,
 helicopter pad, intangible assets, cash",KS,"GBRH Properties
  2009, LLC",GBRH Properties
roger w marshall,"Healthcare
 Properties Fund 1, LLC, 2% Interest
 
 Company: Healthcare Properties Fund 1,
 LLC (Houston, TX) Description: Venture capital
 in hospitals",TX,"Healthcare
  Properties Fund 1, LLC",Healthcare Properties Fund 
roger w marshall,"iSelect Qualified
 Purchaser Fund, LLC
 Company: iSelect Qualified Purchaser
 Fund, LLC (St. Louis, MO) Description: Funds
 available for investment in iSelect",MO,"iSelect Qualified
  Purchaser Fund, LLC",iSelect Qualified
roger w marshall,"Personal
 Loan
 Company: LVMC, Inc. (Great Bend,
 KS)",KS,"LVMC, Inc.",LVMC
Roger W Marshall,"LVMC, Inc.
 Great Bend, KS",KS,"LVMC, Inc.",LVMC
roger w marshall,"25% Interest,
 LVMC, Inc.
 
 Company: LVMC, Inc. (Great Bend,
 KS) Description: Investment holding
 entity",KS,"LVMC, Inc.",LVMC 
roger w marshall,"Note receivable
 held by Farmers Bank & Trust, 25% Interest
 Company: Farmers Bank & Trust
 (Great Bend, KS)",KS,"Note receivable
  held by Farmers Bank & Trust",NA
roger w marshall,"NCM Bioscience
 Partners, LLC
 
 Company: Investment in Open Prairie
 Ventures II, LP (Leawood,
 KS) Description: Venture capital
 investments",KS,"NCM Bioscience
  Partners, LLC",NCM Bioscience
Roger W Marshall,"Quivira Ranch, Inc.
 Great Bend, KS",KS,"Quivira Ranch, Inc.",Quivira Ranch
Roger W Marshall,"Rattlesnake Ranch, Inc.
 Great Bend, KS",KS,"Rattlesnake Ranch, Inc.",Rattlesnake Ranch
Ron Johnson,"Grammie Jean Foundation, Inc.
 Oshkosh, WI",WI,"Grammie Jean Foundation, Inc.",Grammie Jean
ron johnson,"Receivable
 Company: Ron Johnson for Senate, Inc.
 (Washington, DC)",DC,"Ron Johnson for Senate, Inc.",NA
ron johnson,"SPY - SPDR
 S&P 500 ETF
 Description: Exchange Traded
 Fund (Boston, MA)",MA,"SPY - SPDR
  S&P 500 ETF",NA
ron johnson,"Pacur,
 LLC
 
 Company: Pacur, LLC (Oshkosh,
 WI) Description: Manufacturing - Plastic
 Extrusion",WI,"Pacur,
  LLC",Pacur
ron johnson,"Pacur,
 LLC
 Company: Pacur, LLC (Oshkosh,
 WI) Description: Manufacturing - Plastic
 Extrusion",WI,"Pacur,
  LLC",Pacur
ron johnson,"Pacur,
 LLC
 Company: Pacur, LLC (Oshkosh,
 WI) Description: Manufacturing - Plastic
 Extrusion",WI,"Pacur,
  LLC",Pacur
ron johnson,"Orchard at
 Picacho, LLC (0.73% Ownership Interest)
 Company: Orchard at Picacho, LLC
 (Picacho, AZ) Description: Land
 Development",AZ,"Orchard at
  Picacho, LLC",Picacho
ron johnson,"Ronald H. and Jane
 K. Johnson, LLC (100% Ownership Interest)
 
 Company: Ronald H. and Jane K. Johnson,
 LLC (Oshkosh, WI) Description: Commercial rental
 real estate",WI,"Ronald H. and Jane
  K. Johnson, LLC",Ronald H. and Jane K. Johnson
Ron Johnson,"Ronald H. and Jane K. Johnson, LLC
 Oshkosh, WI",WI,"Ronald H. and Jane K. Johnson, LLC",Ronald H. and Jane K. Johnson
ron l wyden,"Bass Book Trading,
 Inc (S-corp)
 Description: Book Trading (New
 York, NY)",NY,"Bass Book Trading,
  Inc (S-corp)",Bass Book
ron l wyden,"Bass Book Trading, IncNew York, NY",NY,"Bass Book Trading, Inc",Bass Book Trading
ron l wyden,"Bass Real Estate LLCNew York, NY",NY,Bass Real Estate LLC,Bass Real Estate
ron l wyden,"Bass Real Estate
 LLC
 Company: Bass Real Estate LLC (New
 York, NY) Description: Commercial Real Estate
 holding Filer comment: Holdings: 826 Broadway, New
 York, NY 10003",NY,"Bass Real Estate
  LLC",Bass Real Estate 
ron l wyden,"Coolidge 5101
 Sheridan LLC
 
 Company: Coolidge 5101 Sheridan LLC
 (Chicago, IL) Description: Holding
 company",IL,"Coolidge 5101
  Sheridan LLC",Coolidge 5101 Sheridan
ron l wyden,"Coolidge Des
 Plaines LLC
 
 Company: Coolidge Des Plaines LLC (Des
 Plaines, IL) Description: Holding
 company",IL,"Coolidge Des
  Plaines LLC",Coolidge Des Plaines 
ron l wyden,"Coolidge Evaston
 LLC
 
 Company: Coolidge Evaston LLC (Chicago,
 IL) Description: Holding company",IL,Coolidge Evaston LLC,Coolidge Evaston
ron l wyden,"Coolidge Oakleigh
 LLC
 
 Company: Coolidge Oakleigh LLC (Baton
 Rouge, LA) Description: Holding
 company",LA,"Coolidge Oakleigh
  LLC",Coolidge Oakleigh
ron l wyden,"Fitz Frames,
 Inc.
 Description: Custom eyeglass
 wear (Santa Monica, CA)",CA,"Fitz Frames,
  Inc.",Fitz Frames 
ron l wyden,"Leveque Parking
 Partners LLC
 
 Company: Leveque Parking Partners LLC
 (New York, NY) Description: Commercial Real
 Estate",NY,"Leveque Parking
  Partners LLC",Leveque
ron l wyden,"US Savings Bond
 Series I
 Description: US Savings
 Bond (Washington, DC)",DC,"US Savings Bond
  Series I",NA
ron l wyden,"Strand Book Store
 Inc. (S-Corp)
 Description: Book Store (New York,
 NY)",NY,"Strand Book Store
  Inc.",Strand Book Store 
ron l wyden,"Strand at Columbus
 Ave LLC
 Company: Strand at Columbus Ave LLC
 (New York, NY) Description: Book
 Store",NY,"Strand at Columbus
  Ave LLC",Strand at Columbus Ave 
ron l wyden,"Strand Book Store IncNew York, NY",,Strand Book Store Inc,Strand Book Store
roy blunt,"Ardagh Group SALuxembourg, Luxembourg",,Ardagh Group SA,Ardagh Group
roy blunt,"Churchill Coffee
 LTD Springfield MO
 Company: Churchill Coffee LTD
 Springfield MO (Springfield,
 MO) Description: Roaster and Retailer of
 Coffee",MO,"Churchill Coffee
  LTD Springfield MO",Churchill Coffee
roy blunt,"Farm
 Description: 5 Undeveloped Acres in
 Strafford, MO (Strafford, MO)",MO,Farm,NA
roy blunt,"Family
 Farm
 Description: Farm (Strafford,
 MO)",MO,"Family
  Farm",NA
roy blunt,"The Kraft Heinz CompanyWashington, DC",,The Kraft Heinz Company,The Kraft Heinz Company
senator_full_name,asset,state,asset_cleaned,cleaned_asset_name
sheldon whitehouse,"Atlantic CouncilWashington, DC",,Atlantic Council,NA
sheldon whitehouse,"Ocean ConservancyWashington, DC",,Ocean Conservancy,Ocean Conservancy
sheldon whitehouse,"Seaview Mezzanine
 LP
 
 Company: Seaview Mezzanine LP (New
 York, NY) Description: solution provider for
 print production, etc",NY,"Seaview Mezzanine
  LP",Seaview Mezzanine
sheldon whitehouse,"Symco Group Inc
 (inv of Seaview Mezzanine, LP
 Company: Symco Group Inc (Buford,
 GA) Description: solution provider to print
 production, etc",GA,Symco Group Inc,Symco
sheldon whitehouse,"T Acquisition Ltd
 Part(sole inv of MS TP Ltd Part
 
 Company: T Acquisition Partnership
 (Mayville, WI) Description: Sale of office
 supplies",WI,T Acquisition Ltd,T Acquisition
sheldon whitehouse,"TAB Prod Co LLC (a
 holding of T Acq Ltd)
 Company: TAB Prod Co LLC (Mayville,
 WI) Description: Sale of office
 supplies",WI,TAB Prod Co LLC,TAB Prod
sheldon whitehouse,"TAB Prod Canada( a
 holding of T Acq Ltd)
 Company: TAB Prod Canada (Ontario,
 Canada) Description: Sale of office
 supplies",CANADA,TAB Prod Canada,TAB Prod
sheldon whitehouse,"TAB Prod Europa (a
 holding of T Acq Ltd)
 Company: TAB Prod Europa (Amsterdam,
 Netherlands) Description: Sale of office
 supplies",NETHERLANDS,TAB Prod Europa,TAB Prod
sheldon whitehouse,"TAB Prod PTY Ltd (
 a holding of T Acq Ltd)
 Company: TAB Prod PTY Ltd (Stillwater,
 Australia) Description: Sale of Office
 Supplies",AUSTRALIA,TAB Prod PTY Ltd,TAB Prod
sheldon whitehouse,"MS TP Ltd
 Partnership
 
 Company: Tab Products (Mayville,
 WI) Description: Sale of Office
 Supplies Filer comment: Value is between $0 and
 $15,000. Ordinary loss for 2020 was $22,990.",WI,Tab Products,Tab Products
sheldon whitehouse,"White Ranch
 Minerals, Ltd.
 Description: Energy (Minneapolis,
 Minnesota)",MN,"White Ranch
  Minerals, Ltd.",White Ranch Minerals
shelley m capito,"Belle Meade
 Associates NY, L.P.
 Company: Belle Meade Associates NY,
 L.P. (New York, NY) Description: Pooled
 Investment Fund",NY,"Belle Meade
  Associates NY, L.P.",Belle Meade Associates
shelley m capito,"Belle Meade
 Associates NT LP
 Company: Belle Meade Associates (New
 York, NY) Description: Pooled Investment
 Fund",NY,"Belle Meade
  Associates NT LP",Belle Meade Associates
shelley m capito,"Citigroup Capital
 Partners II
 Company: Citigroup Capital Partners II
 (New York, NY) Description: Fund of
 funds",NY,"Citigroup Capital
  Partners II",Citigroup Capital Partners
shelley m capito,"CVCIGP II
 Company: CVCIGP II U.S. Employees LP
 (New York, NY) Description: Fund of
 funds",NY,CVCIGP II,CVCIGP
Shelley M Capito,"University of Charleston
 Charleston, WV",WV,University of Charleston,NA
sherrod brown,"Kent State UniversityKent, OH",,Kent State University,NA
steve daines,"Genesis
 
 Company: Genesis Business Park
 (Bozeman, MT) Description: Commercial real
 estate",MT,Genesis,Genesis Business Park
Steve Daines,"Genesis Partners
 Bozeman, MT-Montana",MT,Genesis Partners,Genesis Partners
steve daines,"U.S. SenateWashington, DC",,U.S. Senate,NA
Thomas H Tuberville,"Tommy Tuberville Foundation
 Auburn, AL",AL,Tommy Tuberville Foundation,NA
Thomas H Tuberville,"Tiger Farms, LLC
 Auburn, Alabama",AL,"Tiger Farms, LLC",Tiger Farms
thomas h tuberville,"Tiger Farms,
 LLC
 
 Company: Tiger Farms, LLC (Auburn,
 Alabama) Description: Real property holding
 company",AL,"Tiger Farms,
  LLC",Tiger Farms 
thomas j ossoff,"Emory HealthcareAtlanta, GA",GA,Emory Healthcare,Emory Healthcare
thomas j ossoff,"Insight
 TWI
 Company: Insight TWI (London,
 UK) Description: Media Production; Television
 & Film; Investigative Journalism",UNITED KINGDOM,"Insight
  TWI",Insight TWI
Thomas J Ossoff,"Insight TWI
 London, UK",UNITED KINGDOM,Insight TWI,Insight TWI
thomas j ossoff,"Edward Jones IRA
 Select - Growth Focus
 Description: Edward
 Jones (Maryland Heights, MO)",MO,Edward Jones IRA,NA
Thomas J Ossoff,"Georgia Conservation Voters
 Atlanta, GA",GA,Georgia Conservation Voters,NA
Thomas J Ossoff,"The World Investigates Foundation
 Atlanta, GA",GA,The World Investigates Foundation,NA
Thomas J Ossoff,"Tailwind Media, LLC
 Atlanta, GA",GA,"Tailwind Media, LLC",Tailwind Media
Thomas J Ossoff,"TWI Digital, LLC
 Atlanta, GA",GA,"TWI Digital, LLC",TWI
thomas r tillis,"Allen Tate RealtorsCornelius, NC",,Allen Tate Realtors,Allen Tate Realtors
Tim Scott,"CLEMSON UNIVERSITY
 CLEMSON, SC",SC,CLEMSON UNIVERSITY,NA
tim scott,"RIVERTOWN
 INVESTMENTS, LLC (50% INTEREST)
 
 Company: RIVERTOWN INVESTMENTS, LLC
 (CHARLESTON, SC) Description: RESIDENTIAL REAL
 ESTATE",SC,"RIVERTOWN
  INVESTMENTS, LLC",Rivertown
Tim Scott,"RIVERTOWN INVESTMENTS, LLC
 CHARLESTON, SC",SC,"RIVERTOWN INVESTMENTS, LLC",Rivertown Investments
Timothy M Kaine,"National Endowment for Democracy
 Washington, DC",DC,National Endowment for Democracy,NA
tina smith,"Accuitive Medical
 Ventures, LLC
 
 Company: Accuitive Medical Ventures,
 LLC (Duluth, GA) Description: Investment
 Company",GA,"Accuitive Medical
  Ventures, LLC",Accuitive
tina smith,"AMV Partners I,
 LP
 Company: AMV Partners I, LP (Duluth,
 GA) Description: Medical Device
 Company",GA,"AMV Partners I,
  LP",Accuitive
todd young,"Bloomington Shuttle ServiceBloomington, IN",,Bloomington Shuttle Service,Bloomington Shuttle Service
todd young,"Tucker & Tucker, PCBloomingtin, IN",,"Tucker & Tucker, PC",Tucker & Tucker 
Tom Cotton,"International Repubican Institute
 Washington, DC",DC,International Republican Institute,NA
tom cotton,"Hillsdale CollegeHillsdale, MI",,Hillsdale College,NA
tom cotton,"SLG Solutions
 LLC
 
 Company: SLG Solutions LLC (McLean,
 Viginia) Description: For business consulting
 and governance",VA,"SLG Solutions
  LLC",SLG Solutions
tom cotton,"SLG SolutionsMcLean, Virginia",,SLG Solutions,SLG Solutions
w. mitt romney,"8621 Georgia
 Associates LLC
 
 Company: 8621 Georgia Associates LLC
 (Potomac, MD) Description: Real
 Estate",MD,8621 Georgia Associates LLC,8621 Georgia
W. Mitt Romney,"Ann Romney Center for Neurologic Diseases
 Boston, MA",MA,Ann Romney Center for Neurologic Diseases,Ann Romney 
w. mitt romney,"Promissory Note
 with ACR Enterprises Inc
 Company: ACR Enterprises Inc (Moorpark,
 CA)",California,"Promissory Note
  with ACR Enterprises Inc",NA
W. Mitt Romney,"Romney Grandchildren, LLC
 Wilmington, DE",DE,"Romney Grandchildren, LLC",NA
W. Mitt Romney,"Romney Children, LLC
 Wilmington, DE",DE,"Romney Children, LLC",NA
W. Mitt Romney,"Kem C. Gardner Policy Institute at the University of Utah
 Salt Lake City, UT",UT,Kem C. Gardner Policy Institute at the University of Utah,NA
W. Mitt Romney,"International Republican Institute
 Washington, DC",DC,International Republican Institute,NA
w. mitt romney,"Rob Rom
 LLC
 Company: Rob Rom LLC (Moorpark,
 CA) Description: Horses/Horse
 Breeding",CA,"Rob Rom
  LLC",Rob Rom 
w. mitt romney,"Vantage 2
 LLC
 Company: Vantage 2 LLC (Moorpark,
 CA) Description: Horses/Horse
 Breeding",CA,"Vantage 2
  LLC",Vantage 2 
"william f hagerty, iv","Contour Venture
 Partners, LP
 Company: Contour Venture Partners
 (Princeton, NJ) Description: Early stage venture
 capital equity investments",NJ,"Contour Venture
  Partners, LP",Contour Venture Partners
"william f hagerty, iv","Contour
 Opportunity Fund
 Company: Contour Venture Partners
 (Princeton, NJ) Description: Early stage venture
 capital equity investments",NJ,Contour Venture Partners,Contour Venture Partners
"william f hagerty, iv","Contour
 Opportunity Fund II, LP
 Company: Contour Venture Partners
 (Princeton, NJ) Description: Early stage venture
 capital equity investments",NJ,Contour Venture Partners,Contour Venture Partners
"william f hagerty, iv","Distressed
 Managers IV, LP
 Company: Goldman Sachs (New York,
 NY) Description: Venture Equity Capital
 investments",NY,Distressed Managers,Distressed Managers
"william f hagerty, iv","Eakin Partners,
 LLC
 
 Company: Eakin Partners, LLC
 (Nashville, Tennessee) Description: Local real
 estate investments in Nashville, TN market",TN,"Eakin Partners,
  LLC",Eakin Partners
"William F Hagerty, IV","Fred Jones Enterprises
 Oklahoma City, Oklahoma",OK,Fred Jones Enterprises,Fred Jones Enterprises
"william f hagerty, iv","Fred Jones Enterprises LLCOklahoma City, Oklahoma",,Fred Jones Enterprises LLC,Fred Jones Enterprises
"William F Hagerty, IV","Hagerty Consulting
 Nashville, TN",TN,Hagerty Consulting,Hagerty Consulting
"William F Hagerty, IV","Hagerty Consulting
 Nashville, TN",,Hagerty Consulting,Hagerty Consulting
"William F Hagerty, IV","Hagerty Peterson
 Barrington, IL",,Hagerty Peterson,Hagerty Peterson 
"William F Hagerty, IV","Hall Capital Management Co
 Oklahoma City, Oklahoma",OK,Hall Capital Management Co,Hall Capital Management
"william f hagerty, iv","Hall Capital Management Co, LLCOklahoma City, Oklahoma",,"Hall Capital Management Co, LLC",Hall Capital Management
"william f hagerty, iv","Liquidity Partners
 III/Mezzanine Partners V Access LP
 Company: Goldman Sachs (New York,
 NY) Description: Mid stage venture capital
 equity investments",NY,Liquidity Partners III,Liquidity Partners
"William F Hagerty, IV","Main Street Management
 Nashville, TN",TN,Main Street Management,Main Street Management
"william f hagerty, iv","MainStreet
 Management
 
 Company: MainStreet Management
 (Nashville, TN) Description: Pass-through
 account",TN,"MainStreet
  Management",MainStreet
"william f hagerty, iv","Capital Partners
 VI
 Company: Goldman Sachs (New York,
 NY) Description: Real Estate Fund",NY,"Capital Partners
  VI",NA
"william f hagerty, iv","Contour Venture
 Partners II, LP
 Company: Contour Venture Partners
 (Princeton, NJ) Description: Early stage venture
 capital equity investments",NJ,"Contour Venture
  Partners II, LP",NA
"william f hagerty, iv","Contour Venture
 Partners III, LP
 Company: Contour Venture Partners
 (Princeton, NJ) Description: Early stage venture
 capital equity investments",NJ,"Contour Venture
  Partners III, LP",NA
"william f hagerty, iv","Contour Venture
 Partners IV, LP
 Company: Contour Venture Partners
 (Princeton, NJ) Description: Early stage venture
 capital equity investments",NJ,"Contour Venture
  Partners IV, LP",NA
"william f hagerty, iv","RJ O'Brien and AssociatesChicago, IL",,RJ O'Brien and Associates,NA
"William F Hagerty, IV","R J O'Brien and Associates, LLC
 Chicago, IL",IL,"R J O'Brien and Associates, LLC",R J O'Brien and Associates
"william f hagerty, iv","Roundstone
 Ventures, LLC
 
 Company: Roundstone Ventures, LLC
 (Nashville, TN) Description: 5% ownership
 interest",TN,"Roundstone
  Ventures, LLC",Roundstone Ventures
"William F Hagerty, IV","Roundstone Ventures, LLC
 Nashville, TN",TN,"Roundstone Ventures, LLC",Roundstone Ventures
"william f hagerty, iv","Silverpeak Legacy
 Fund, II LP
 Company: Silverpeak (New York,
 NY) Description: An alternative investment
 management firm with expertise in real estate, energy, real assets,
 and credit",NY,"Silverpeak Legacy
  Fund, II LP",Silverpeak 
"william f hagerty, iv","Silverpeak Legacy
 Fund, III LP
 Company: Silverpeak (New York,
 NY) Description: An alternative investment
 management firm with expertise in real estate, energy, real assets,
 and credit",NY,"Silverpeak Legacy
  Fund, III ",Silverpeak 
"william f hagerty, iv","Tennessee
 Community Ventures, LLC
 
 Company: Tennessee Community Ventures,
 LLC (Nashville, TN) Description: Early stage
 investment company",TN,"Tennessee
  Community Ventures, LLC",Tennessee Community Ventures
