senator_full_name,asset,state,asset_cleaned
roger w marshall,"Healthcare
Properties Fund 1, LLC, 2% Interest

Company: Healthcare Properties Fund 1,
LLC (Houston, TX) Description: Venture capital
in hospitals",TX,"Healthcare
 Properties Fund 1, LLC"
roger w marshall,"NCM Bioscience
Partners, LLC

Company: Investment in Open Prairie
Ventures II, LP (Leawood,
KS) Description: Venture capital
investments",KS,"NCM Bioscience
 Partners, LLC"
roger w marshall,"25% Interest,
LVMC, Inc.

Company: LVMC, Inc. (Great Bend,
KS) Description: Investment holding
entity",KS,"LVMC, Inc."
roger w marshall,"Note receivable
held by Farmers Bank & Trust, 25% Interest
Company: Farmers Bank & Trust
(Great Bend, KS)",KS,"Note receivable
 held by Farmers Bank & Trust"
roger w marshall,"iSelect Qualified
Purchaser Fund, LLC
Company: iSelect Qualified Purchaser
Fund, LLC (St. Louis, MO) Description: Funds
available for investment in iSelect",MO,"iSelect Qualified
 Purchaser Fund, LLC"
roger w marshall,"GBRH Properties
2009, LLC, 14% Interest
Company: GBRH Properties 2009, LLC, 14%
Interest (Great Bend, KS) Description: Building,
helicopter pad, intangible assets, cash",KS,"GBRH Properties
 2009, LLC"
roger w marshall,"Personal
Loan
Company: LVMC, Inc. (Great Bend,
KS)",KS,"LVMC, Inc."
patrick j toomey,"Personal Loan to
S. Toomey
Debtor: Steve Toomey",,"Personal Loan to
 S. Toomey"
patrick j toomey,"BPG Investment
Partnership IX, L.P. (Fund IX)
Company: Equus Capital Partners, Ltd.
(Newtown Square, PA) Description: Closed end
private equity real estate fund",PA,BPG Investment
patrick j toomey,"Equus Investment
Partnership X, L.P.
Company: Equus Capital Partners, Ltd.
(Newtown Square, PA) Description: Closed end
private equity real estate fund",PA,"Equus Investment
 Partnership X, L.P."
patrick j toomey,"Patriot Financial
Partners II
Company: Patriot Financial Partners,
L.P. (Philadelphia, PA) Description: A closed
private equity fund which invests in small banks",PA,"Patriot Financial Partners,
 L.P."
patrick j toomey,"Old Mill
Partners

Company: Old Mill Partners (Allentown,
PA) Description: Real estate limited
partnership. Filer comment: Through this partnership,
Sen. Toomey and his wife are sole owners of a home and a separate
plot of undeveloped land on Block Island, RI.",PA,"Old Mill
 Partners"
patrick j toomey,"Personal Loan to
Old Mill Partners
Company: Old Mill Partners (Allentown,
PA)",PA,Old Mill Partners
patrick j toomey,"Personal Loan #2
to Old Mill Partners
Company: Old Mill Partners (Allentown,
PA)",PA,Old Mill Partners
patrick j toomey,"SRI Capital Fund
I, L.P.

Company: SRI Capital (Philadelphia,
PA) Description: Venture capital fund that
invests in startup technology companies.",PA,"SRI Capital Fund
 I, L.P."
john n kennedy,"First Louisiana
Investment Properties LLC - JK has 1/3 interest

Company: First Louisiana Investment
Properties LLC (Madisonville,
Louisiana) Description: Investment
Company",LA,"First Louisiana
 Investment Properties LLC"
john n kennedy,"APK Minerals LLC -
JK has 1/3 interest

Company: APK Minerals LLC (Olympia,
Washington) Description: LLC",WA,APK Minerals LLC
john n kennedy,"RiverNorth
Institutional Partners, LP
Company: RiverNorth Institutional
Partners, LP (Chicago, IL) Description: Limited
Partnership Filer comment: This is a hedge fund that
meets the definition",IL,"RiverNorth
 Institutional Partners, LP"
john n kennedy,"Greenwave Property
LLC - 1/3 interest

Company: Greenwave Property LLC
(Madisonville,
Louisiana) Description: LLC Filer
comment: Real estate holding company; this represents gross
income (wife's share)",LA,Greenwave Property LLC
john n kennedy,"Tchoupitoulas
Property LLC - 1/2 interest

Company: Tchoupitoulas Property LLC
(Metairie, LA) Description: LLC Filer
comment: Real estate holding company; this represents gross
income (wife's share)",LA,"Tchoupitoulas
 Property LLC"
john n kennedy,"A.P. Kennedy
Family Securities LLC - JK has 1/3 interest

Company: A.P. Kennedy Family Securities
LLC (Madisonville,
LA) Description: LLC Filer
comment: Investment company/LLC",LA,"A.P. Kennedy
 Family Securities LLC"
maggie hassan,"Onadune,
LLC

Company: Onadune, LLC (Boston,
MA) Description: Shared ownership of rental
property in RI",MA,"Onadune,
 LLC"
maggie hassan,"Onadune,
LLC

Company: Onadune, LLC (Boston,
MA) Description: Shared ownership of rental
property in RI",MA,"Onadune,
 LLC"
rand paul,"Alchemy,
LLC

Company: Alchemy, LLC (Bowling Green,
KY) Description: real estate",KY,"Alchemy,
 LLC"
rand paul,"Carona
Limited

Company: Carona Limited (Lake Jackson,
TX) Description: Rental property.",TX,"Carona
 Limited"
rand paul,"CHANDLER REAL
ESTATE PARTNERS XV LP
Company: CHANDLER REAL ESTATE PARTNERS
XV LP (Newport News, VA) Description: Investment
in rental real estate",VA,"CHANDLER REAL
 ESTATE PARTNERS XV LP"
rand paul,"Chandler Real
Estate Partners XIV LP
Company: Chandler Real Estate Partners
XIV LP (Newport News,
VA) Description: Investment in rental real
estate",VA,"Chandler Real
 Estate Partners XIV LP"
rand paul,"Chandler Real
Estate Partners XIII LP
Company: Chandler Real Estate Partners
XIII LP (Newport News,
VA) Description: Investment in rental real
estate",VA,"Chandler Real
 Estate Partners XIII LP"
rand paul,"Chandler Real
Estate Partners XIX LP
Company: Chandler Real Estate Partners
XIX LP (Newport News,
VA) Description: Investment in rental real
estate",VA,"Chandler Real
 Estate Partners XIX LP"
rand paul,"Chase Heritage
Partners LP
Company: Chase Heritage Partners LP
(Newport News, VA) Description: Investment in
rental real estate",VA,"Chase Heritage
 Partners LP"
rand paul,"Receivable from
Judgement Proceeds
Debtor: Civil lawsuit damage
award",,"Receivable from
 Judgement Proceeds"
sheldon whitehouse,"MS TP Ltd
Partnership

Company: Tab Products (Mayville,
WI) Description: Sale of Office
Supplies Filer comment: Value is between $0 and
$15,000. Ordinary loss for 2020 was $22,990.",WI,Tab Products
sheldon whitehouse,"T Acquisition Ltd
Part(sole inv of MS TP Ltd Part

Company: T Acquisition Partnership
(Mayville, WI) Description: Sale of office
supplies",WI,T Acquisition Ltd
sheldon whitehouse,"TAB Prod Co LLC (a
holding of T Acq Ltd)
Company: TAB Prod Co LLC (Mayville,
WI) Description: Sale of office
supplies",WI,TAB Prod Co LLC
sheldon whitehouse,"TAB Prod Canada( a
holding of T Acq Ltd)
Company: TAB Prod Canada (Ontario,
Canada) Description: Sale of office
supplies",CANADA,TAB Prod Canada
sheldon whitehouse,"TAB Prod Europa (a
holding of T Acq Ltd)
Company: TAB Prod Europa (Amsterdam,
Netherlands) Description: Sale of office
supplies",NETHERLANDS,TAB Prod Europa
sheldon whitehouse,"TAB Prod PTY Ltd (
a holding of T Acq Ltd)
Company: TAB Prod PTY Ltd (Stillwater,
Australia) Description: Sale of Office
Supplies",AUSTRALIA,TAB Prod PTY Ltd
sheldon whitehouse,"Seaview Mezzanine
LP

Company: Seaview Mezzanine LP (New
York, NY) Description: solution provider for
print production, etc",NY,"Seaview Mezzanine
 LP"
sheldon whitehouse,"Symco Group Inc
(inv of Seaview Mezzanine, LP
Company: Symco Group Inc (Buford,
GA) Description: solution provider to print
production, etc",GA,Symco Group Inc
sheldon whitehouse,"White Ranch
Minerals, Ltd.
Description: Energy (Minneapolis,
Minnesota)",MN,"White Ranch
 Minerals, Ltd."
jeanne shaheen,"Real property at
107 Storrs Street, Concord, NH
Company: 107 Storrs Street, LLC
(Concord, NH) Description: Owns commercial
rental real property Filer comment: Mr. Shaheen has a
1/10 interest",NH,"107 Storrs Street, LLC"
jeanne shaheen,"Promissory
Note
Company: Shaheen & Gordon, P.A.
(Dover, NH)",NH,"Promissory
 Note"
jeanne shaheen,"Shaheen
Enterprises, LLC

Company: Shaheen Enterprises, LLC
(Dover, NH) Description: Holding company of
NH",NH,"Shaheen
 Enterprises, LLC"
jeanne shaheen,"Route 125
Associates
Company: Route 125 Associates (Dover,
NH) Description: Commercial rental real
property Filer comment: Shaheen Enterprises, LLC has
a 1/2 interest",NH,"Route 125
 Associates"
jeanne shaheen,"903 Central Ave,
Dover NH
Company: 903 Central Ave. Associates,
LLC (Dover, NH) Description: Owns commercial
rental real property Filer comment: Shaheen
Enterprises, LLC has a 1/2 interest",NH,"903 Central Ave. Associates,
 LLC"
jeanne shaheen,"Atlas-Heritage
Title Company
Company: Atlas-Heritage Title Co., LLC
(Dover, NH) Description: Title
services Filer comment: Shaheen Enterprises LLC has
had a ½ interest in this asset.",NH,"Atlas-Heritage
 Title Company"
jeanne shaheen,"The Salon,
LLC
Company: The Salon, LLC (Dover,
NH) Description: Beauty salon Filer
comment: Shaheen Enterprises, LLC has a 1/2 interest in The
Salon. Sold below the reporting threshold on 12/31/2020.",NH,"The Salon,
 LLC"
jeanne shaheen,"Eco-Burner,
LLC
Company: Eco-Burner, LLC (Barrington,
NH) Description: Developing an environmental oil
burner",NH,"Eco-Burner,
 LLC"
jeanne shaheen,"Promissory
Note
Debtor: Ansel Grandmaison",,"Promissory
 Note"
jeanne shaheen,"Trela Associates,
LLC

Company: Trela Associates, LLC (Dover,
NH) Description: Owns commercial real
estate",NH,"Trela Associates,
 LLC"
jeanne shaheen,"Emerald Group
LLC
Company: Emerald Group LLC (Madbury,
NH) Description: Consulting",NH,"Emerald Group
 LLC"
jeanne shaheen,"Shaheen
Enterprises of Maine, LLC

Company: Shaheen Enterprises of Maine,
LLC (York Beach, ME) Description: Holding
company",ME,"Shaheen
 Enterprises of Maine, LLC"
tim scott,"RIVERTOWN
INVESTMENTS, LLC (50% INTEREST)

Company: RIVERTOWN INVESTMENTS, LLC
(CHARLESTON, SC) Description: RESIDENTIAL REAL
ESTATE",SC,"RIVERTOWN
 INVESTMENTS, LLC"
christopher a coons,"Robert Gorfam,
Inc.

Description: Holding
Company (Newark, DE)",DE,"Robert Gorfam,
 Inc."
christopher a coons,"Robert Gorfam,
Inc.

Description: Holding
Company (Newark, DE)",DE,"Robert Gorfam,
 Inc."
christopher a coons,"Robert Gorfam,
Inc.

Description: Holding
Company (Newark, DE)",DE,"Robert Gorfam,
 Inc."
christopher a coons,"TCS Lease
Management LLC

Company: TCS Lease Management LLC
(Sanibel Island, Florida) Description: Rental
Real Estate",FL,"TCS Lease
 Management LLC"
mike braun,"Norman
Contract
Debtor: Charles & Betty
Norman",,"Norman
 Contract"
mike braun,"Maple Land, LLC
(50% ownership)

Company: Maple Land, LLC (Owensville,
IN) Description: Farming",IN,"Maple Land, LLC"
ron l wyden,"US Savings Bond
Series I
Description: US Savings
Bond (Washington, DC)",DC,"US Savings Bond
 Series I"
ron l wyden,"Strand Book Store
Inc. (S-Corp)
Description: Book Store (New York,
NY)",NY,"Strand Book Store
 Inc."
ron l wyden,"Bass Book Trading,
Inc (S-corp)
Description: Book Trading (New
York, NY)",NY,"Bass Book Trading,
 Inc (S-corp)"
ron l wyden,"Bass Real Estate
LLC
Company: Bass Real Estate LLC (New
York, NY) Description: Commercial Real Estate
holding Filer comment: Holdings: 826 Broadway, New
York, NY 10003",NY,"Bass Real Estate
 LLC"
ron l wyden,"Leveque Parking
Partners LLC

Company: Leveque Parking Partners LLC
(New York, NY) Description: Commercial Real
Estate",NY,"Leveque Parking
 Partners LLC"
ron l wyden,"Fitz Frames,
Inc.
Description: Custom eyeglass
wear (Santa Monica, CA)",CA,"Fitz Frames,
 Inc."
ron l wyden,"Coolidge Oakleigh
LLC

Company: Coolidge Oakleigh LLC (Baton
Rouge, LA) Description: Holding
company",LA,"Coolidge Oakleigh
 LLC"
ron l wyden,"Coolidge Evaston
LLC

Company: Coolidge Evaston LLC (Chicago,
IL) Description: Holding company",IL,Coolidge Evaston LLC
ron l wyden,"Coolidge 5101
Sheridan LLC

Company: Coolidge 5101 Sheridan LLC
(Chicago, IL) Description: Holding
company",IL,"Coolidge 5101
 Sheridan LLC"
ron l wyden,"Coolidge Des
Plaines LLC

Company: Coolidge Des Plaines LLC (Des
Plaines, IL) Description: Holding
company",IL,"Coolidge Des
 Plaines LLC"
ron l wyden,"Strand at Columbus
Ave LLC
Company: Strand at Columbus Ave LLC
(New York, NY) Description: Book
Store",NY,"Strand at Columbus
 Ave LLC"
tom cotton,"SLG Solutions
LLC

Company: SLG Solutions LLC (McLean,
Viginia) Description: For business consulting
and governance",VA,"SLG Solutions
 LLC"
robert j portman,"Member Interest in
Peavler, LLC

Company: Peavler, LLC (Erlanger,
Kentucky) Description: Rental
Property",KY,"Peavler, LLC"
robert j portman,"Member Interest in
Lebanon House, Inc.

Company: Lebanon House, Inc.
(Cincinnati, OH) Description: Rental Property
and Other Investment",OH,"Lebanon House, Inc."
robert j portman,"Lebanon House,
Inc. Other
Company: Rock Hospitality, LLC
(Lebanon, OH) Description: Investment in
Business, The Golden Lamb Filer comment: The income
listed is gross receipts, not net income or profit. Profit was
reinvested in the business.",OH,"Rock Hospitality, LLC"
robert j portman,"Member Interest in
Shaker Properties, Ltd

Company: Shaker Properties, Ltd
(Cincinnati, Ohio) Description: Rental
Property",OH,"Shaker Properties, Ltd"
robert j portman,"Member Interest in
Turkey Bottom Farm LLC

Company: Turkey Bottom Farm LLC
(Oregonia, Ohio) Description: Farm & Rental
Property",OH,Turkey Bottom Farm LLC
thomas h tuberville,"Tiger Farms,
LLC

Company: Tiger Farms, LLC (Auburn,
Alabama) Description: Real property holding
company",AL,"Tiger Farms,
 LLC"
cindy hyde-smith,"FARM LINCOLN
COUNTY
Description: BEEF FARM (BROOKHAVEN,
MS)",MS,"FARM LINCOLN
 COUNTY"
cindy hyde-smith,"BEEF
CATTLE
Description: SALES OF RAISED AND CULL
COWS (BROOKHAVEN, MS)",MS,"BEEF
 CATTLE"
mike rounds,"FRA, LLC

Company: FRA, LLC (Pierre,
SD) Description: Farm ownership",SD,"FRA, LLC"
mike rounds,"FRA Farm
Description: Farm (Pierre,
SD)",SD,FRA Farm
mike rounds,"Lake Sharpe
Investments, LLC

Company: Lake Sharpe Investments, LLC
(Pierre, SD) Description: Investments (Assets
Below)",SD,"Lake Sharpe
 Investments, LLC"
mike rounds,"Nordic Venture
Partners Fund II, LLC

Company: Nordic Venture Partners Fund,
II (Sioux Falls,
SD) Description: Investments",SD,"Nordic Venture
 Partners Fund II, LLC"
mike rounds,"Locals Love Us,
LLC
Company: Locals Love Us, LLC (Sioux
Falls, SD) Description: Business Advertisement
and Marketing",SD,"Locals Love Us,
 LLC"
mike rounds,"Fashion Audio,
LLC
Company: Fashion Audio, LLC (Irvine,
CA) Description: Audio Equipment
Sales",CA,"Fashion Audio,
 LLC"
mike rounds,"Novita,
LLC
Company: Novita, LLC (Brookings,
SD) Description: Agriculture Technology - animal
nutrition production",SD,"Novita,
 LLC"
mike rounds,"Bird Dog LLU,
LLC
Company: Bird Dog LLU, LLC (Sioux
Falls, SD) Description: Marketing
Company",SD,"Bird Dog LLU,
 LLC"
mike rounds,"Aeronics,
Inc
Company: Aeronics, Inc (Austin,
TX) Description: Equipment
Manufacturing",TX,"Aeronics,
 Inc"
mike rounds,"Roundtable,
LLC

Company: Roundtable, LLC (Fort Pierre,
SD) Description: Farm",SD,"Roundtable,
 LLC"
mike rounds,"Roundtable
Farm
Description: Farmland (Lyman County,
SD) Filer comment: (Underlying asset to Roundtable,
LLC)",SD,"Roundtable
 Farm"
mike rounds,"Bird Dog
Hospitality Fund I, LLC

Company: Bird Dog Hospitality Fund I,
LLC (Sioux Falls, SD) Description: Business
Entity which holds underlying assets. Filer comment:
This asset name was previously listed as Bird Dog Hospitality Fund
in last years filing. The asset name was only changed to reflect a
more accurate description",SD,"Bird Dog
 Hospitality Fund I, LLC"
mike rounds,"Bird Dog
Hospitality I, LLC

Company: Bird Dog Hospitality I, LLC
(Sioux Falls, SD) Description: Business Entity
which holds underlying asset",SD,"Bird Dog
 Hospitality I, LLC"
mike rounds,"Bird Dog
Hospitality II, LLC

Company: Bird Dog Hospitality II, LLC
(Sioux Falls, SD) Description: Business Entity
which holds underlying asset",SD,"Bird Dog
 Hospitality II, LLC"
mike rounds,"Bird Dog
Hospitality III, LLC

Company: Bird Dog Hospitality III, LLC
(Sioux Falls, SD) Description: Business Entity
which holds underlying asset",SD,"Bird Dog
 Hospitality III, LLC"
mike rounds,"Bird Dog
Hospitality IV, LLC

Company: Bird Dog Hospitality IV, LLC
(Sioux Falls, SD) Description: Business Entity
which holds underlying asset",SD,"Bird Dog
 Hospitality IV, LLC"
mike rounds,"Bird Dog
Hospitality V, LLC

Company: Bird Dog Hospitality V, LLC
(Sioux Falls, SD) Description: Business Entity
which holds underlying asset",SD,"Bird Dog
 Hospitality V, LLC"
mike rounds,"Bird Dog
Hospitality Fund II, LLC

Company: Bird Dog Hospitality Fund II,
LLC (Sioux Falls, SD) Description: Business
Entity which holds underlying asset",SD,"Bird Dog Hospitality Fund II,
 LLC"
mike rounds,"BDH2 -
Marshall

Company: Bird Dog Hospitality 2 (Sioux
Falls, SD) Description: Business Entity which
holds underlying asset",SD,Bird Dog Hospitality 2
mike rounds,"BDH2 -
Valentine

Company: Bird Dog Hospitality 2 (Sioux
Falls, SD) Description: Business Entity which
holds underlying asset",SD,Bird Dog Hospitality 2
mike rounds,"BDH2 - New
Ulm

Company: Bird Dog Hospitality 2 (Sioux
Falls, SD) Description: Business Entity which
holds underlying asset",SD,Bird Dog Hospitality 2
mike rounds,"BDH2 -
Shoreview

Company: Bird Dog Hospitality 2 (Sioux
Falls, SD) Description: Business Entity which
holds underlying asset",SD,Bird Dog Hospitality 2
benjamin l cardin,"Venture BG,
LLC
Company: Venture BG, LLC (Baltimore,
Md) Description: Real Estate Filer
comment: See ""Attachments and Comments""; evaluation based on
cap rate of rental income less debt; Capital Account negative;
income as reflected K1.",MD,"Venture BG,
 LLC"
benjamin l cardin,"Lansdowne Station
Self Storage, LLC
Company: Lansdowne Station Self
Storage, LLC (Baltimore, Md) Description: Real
Estate Filer comment: See ""Attachments and Comments"";
evaluation based on cap rate of rental income less debt; Capital
Account 0; Income as reflected on K1",MD,"Lansdowne Station
 Self Storage, LLC"
maria cantwell,"Cantwell 2000
Campaign Loan
Company: Cantwell 2000 Campaign
(Seattle, WA) Filer comment: Loan to Senate
Campaign",WA,"Cantwell 2000
 Campaign Loan"
charles e grassley,"Farmer's
Cooperative Co.
Description: Cooperative (New Hartford,
Iowa)",IA,"Farmer's
 Cooperative Co."
charles e grassley,"Farm Land-all
located in Butler County, Iowa, Beaver Township
Description: Sec. 24, Rng. 15-72 A (New
Hartford, Iowa) Filer comment: Combined Farm Income
for all farmland: $223,956 less expenses $47,617 = $176,339 NET.
Not possible to seperate income by individual farm.",IA,Farm Land
charles e grassley,"Farm Land-all
located in Butler County, Iowa, Beaver Township
Description: Sec. 16, Rng. 15-118 A
(New Hartford, Iowa) Filer comment: See comments in
Item 2 for explanation of Net Income for all farmland. Not possible
to separate income by farm. Land being sold under long-term
contract.",IA,Farm Land
charles e grassley,"Farm Land-All
located in Butler County, Iowa, Beaver Township
Description: Sec. 16, Rng. 15 - 40 A
(New Hartford, Iowa) Filer comment: See comments in
Item 2 for explanation of Net Income for all farmland. Not possible
to separate income by farm. Land being sold by long-term
contract.",IA,Farm Land
charles e grassley,"Farm Land-All
Located in Butler County, Iowa, Beaver Township
Description: Sec. 15, Rng. 15-43 A (New
Hartford, Iowa) Filer comment: See comments in Item 2
for explanation of Net Income for all farmland. Not possible to
separate income by farm. Land being sold under long-term
contract.",IA,Farm Land
charles e grassley,"Farm Land-All
located in Butler County, Iowa, Beaver Township
Description: Sec. 15, Rng. 15-87 A (New
Hartford, Iowa) Filer comment: See comments in Item 2
for explanation of Net Income for all farmland. Not possible to
separate income by farm. Land being sold under long-term
contract",IA,Farm Land
charles e grassley,"Farm Land-All
located in Butler County, Iowa, Beaver Township
Description: Sec. 34, Rng.15 -114 A
(New Hartford, Iowa) Filer comment: See comments in
Item 2 for explanation of Net Income for all farmland. Not possible
to separate income by farm.",IA,Farm Land
charles e grassley,"Farm Land-All
located in Butler County, Iowa, Beaver Township
Description: Sec. 34 & 35, Rng.
18-120 A (New Hartford, Iowa) Filer comment: See
comments in Item 2 for explanation of Net Income for all farmland.
Not possible to separate income by farm.",IA,Farm Land
charles e grassley,"Farm Land-All
Located in Butler County, Iowa, Beaver Township
Description: Sec. 34, Rng. 15 - 118 A
(New Hartford, Iowa) Filer comment: See comments in
Item 2 for explanation of Net Income for all farmland. Not possible
to separate income by farm.",IA,Farm Land
charles e grassley,"Property Sale - 2
acre Farmstead
Debtor: Robin & Diane
Grassley Filer comment: Sold land on contract. Last
payment on contract received in 2020.",,"Property Sale - 2
 acre Farmstead"
"a. mitchell mcconnell, jr","AMCP Security
Holdings, LP, capital account
Description: N/A (Greenwich,
CT) Filer comment: Final K-1 was received in 2020. No
more value in this.",CT,"AMCP Security
 Holdings, LP, capital account"
tina smith,"Accuitive Medical
Ventures, LLC

Company: Accuitive Medical Ventures,
LLC (Duluth, GA) Description: Investment
Company",GA,"Accuitive Medical
 Ventures, LLC"
tina smith,"AMV Partners I,
LP
Company: AMV Partners I, LP (Duluth,
GA) Description: Medical Device
Company",GA,"AMV Partners I,
 LP"
roy blunt,"Churchill Coffee
LTD Springfield MO
Company: Churchill Coffee LTD
Springfield MO (Springfield,
MO) Description: Roaster and Retailer of
Coffee",MO,"Churchill Coffee
 LTD Springfield MO"
roy blunt,"Farm
Description: 5 Undeveloped Acres in
Strafford, MO (Strafford, MO)",MO,Farm
roy blunt,"Family
Farm
Description: Farm (Strafford,
MO)",MO,"Family
 Farm"
lisa a murkowski,"Alaska Permanent
Fund Dividend
Description: N/A (N/A,
N/A)",AK,"Alaska Permanent
 Fund Dividend"
lisa a murkowski,"Alaska Permanent
Fund Dividend
Description: N/A (N/A,
N/A)",AK,"Alaska Permanent
 Fund Dividend"
john hoeven,"Tompson-Hoeven
Partnership

Company: Tompson-Hoeven Partnership
(Bismarck, North Dakota) Description: Montana
Farmland Rental",ND,"Tompson-Hoeven
 Partnership"
john hoeven,"Northwest
Respiratory Services, LLC
Company: Northwest Respiratory
Services, LLC (St Paul,
Minnesota) Description: Respiratory medical
equipment and service provider",MN,"Northwest
 Respiratory Services, LLC"
joshua d hawley,"Cowboy Rose Cattle
Company LLC

Company: Cowboy Rose Cattle Company LLC
(Folsom, NM) Description: Ranch-agriculture and
livestock Filer comment: Spouse holds one-third
interest.",NM,"Cowboy Rose Cattle
 Company LLC"
joshua d hawley,"Winecup
Ranch
Description: Ranch-agriculture and
livestock (Folsom, NM) Filer comment: Spouse holds
1/3 interest in this asset. Asset value is spouse's proportionate
share.",NM,"Winecup
 Ranch"
michael f bennet,"Daggett Farms
Limited Partnership
Description: 1500 acre family farm
(Marianna, AR) Filer comment: 9.42% limited
partnership",AR,"Daggett Farms
 Limited Partnership"
michael f bennet,"LMD Farms Limited
Partnership
Description: 1500 acre family farm
(Marianna, AR) Filer comment: 8.97% limited
partnership",AR,"LMD Farms Limited
 Partnership"
