senator_companies,BorrowerName,match_type,file_location,senator_full_name,asset,state,asset_cleaned,BorrowerAddress,BorrowerState,JobsReported,ForgivenessAmount,state_match
RIVERTOWN,RIVERTOWN CABINETRY INC,multiple,ppp_slices/file_10_600000.rds,tim scott,"RIVERTOWN
 INVESTMENTS, LLC (50% INTEREST)
 
 Company: RIVERTOWN INVESTMENTS, LLC
 (CHARLESTON, SC) Description: RESIDENTIAL REAL
 ESTATE",SC,"RIVERTOWN
  INVESTMENTS, LLC",307 BEATY ST,SC,4,18128.22,TRUE
RIVERTOWN,RIVERTOWN GUN DEPOT LLC,multiple,ppp_slices/file_10_600000.rds,tim scott,"RIVERTOWN
 INVESTMENTS, LLC (50% INTEREST)
 
 Company: RIVERTOWN INVESTMENTS, LLC
 (CHARLESTON, SC) Description: RESIDENTIAL REAL
 ESTATE",SC,"RIVERTOWN
  INVESTMENTS, LLC",1301 B HWY 501,SC,4,13037.48,TRUE
RIVERTOWN,"RIVERTOWN LAW GROUP, LLC",multiple,ppp_slices/file_10_600000.rds,tim scott,"RIVERTOWN
 INVESTMENTS, LLC (50% INTEREST)
 
 Company: RIVERTOWN INVESTMENTS, LLC
 (CHARLESTON, SC) Description: RESIDENTIAL REAL
 ESTATE",SC,"RIVERTOWN
  INVESTMENTS, LLC",908 4th Ave.,SC,2,8144.19,TRUE
RIVERTOWN,RIVERTOWN ACCOUNTING INC,multiple,ppp_slices/file_10_600000.rds,tim scott,"RIVERTOWN
 INVESTMENTS, LLC (50% INTEREST)
 
 Company: RIVERTOWN INVESTMENTS, LLC
 (CHARLESTON, SC) Description: RESIDENTIAL REAL
 ESTATE",SC,"RIVERTOWN
  INVESTMENTS, LLC",2579 main st,SC,1,5033.01,TRUE
RIVERTOWN,RIVERTOWN AUCTION II,multiple,ppp_slices/file_10_600000.rds,tim scott,"RIVERTOWN
 INVESTMENTS, LLC (50% INTEREST)
 
 Company: RIVERTOWN INVESTMENTS, LLC
 (CHARLESTON, SC) Description: RESIDENTIAL REAL
 ESTATE",SC,"RIVERTOWN
  INVESTMENTS, LLC",2705 Hwy 501 E,SC,1,2526.85,TRUE
RIVERTOWN,RIVERTOWN ROASTERS ON MAIN,multiple,ppp_slices/file_10_600000.rds,tim scott,"RIVERTOWN
 INVESTMENTS, LLC (50% INTEREST)
 
 Company: RIVERTOWN INVESTMENTS, LLC
 (CHARLESTON, SC) Description: RESIDENTIAL REAL
 ESTATE",SC,"RIVERTOWN
  INVESTMENTS, LLC",337 MAIN STREET,SC,3,1042.71,TRUE
LOCALS LOVE US,"LOCALS LOVE US, LLC",multiple,ppp_slices/file_10_600000.rds,mike rounds,"Locals Love Us,
 LLC
 Company: Locals Love Us, LLC (Sioux
 Falls, SD) Description: Business Advertisement
 and Marketing",SD,"Locals Love Us,
  LLC",330 N Main Ave,SD,5,46158.77,TRUE
LOCALS LOVE US,LOCALS LOVE US LLC,multiple,ppp_slices/file_10_600000.rds,mike rounds,"Locals Love Us,
 LLC
 Company: Locals Love Us, LLC (Sioux
 Falls, SD) Description: Business Advertisement
 and Marketing",SD,"Locals Love Us,
  LLC",330 N Main Ave Ste 302,SD,4,45315,TRUE
BIRD DOG,"BIRD DOG EQUITY PARTNERS, LLC",multiple,ppp_slices/file_10_600000.rds,mike rounds,"Bird Dog LLU,
 LLC
 Company: Bird Dog LLU, LLC (Sioux
 Falls, SD) Description: Marketing
 Company",SD,"Bird Dog LLU,
  LLC",221 S Phillips Ave Suite 200,SD,6,112887.39,TRUE
BIRD DOG,"BIRD DOG EQUITY PARTNERS, LLC",multiple,ppp_slices/file_10_600000.rds,mike rounds,"Bird Dog
 Hospitality Fund I, LLC
 
 Company: Bird Dog Hospitality Fund I,
 LLC (Sioux Falls, SD) Description: Business
 Entity which holds underlying assets. Filer comment:
 This asset name was previously listed as Bird Dog Hospitality Fund
 in last years filing. The asset name was only changed to reflect a
 more accurate description",SD,"Bird Dog
  Hospitality Fund I, LLC",221 S Phillips Ave Suite 200,SD,6,112887.39,TRUE
BIRD DOG,"BIRD DOG EQUITY PARTNERS, LLC",multiple,ppp_slices/file_10_600000.rds,mike rounds,"Bird Dog
 Hospitality I, LLC
 
 Company: Bird Dog Hospitality I, LLC
 (Sioux Falls, SD) Description: Business Entity
 which holds underlying asset",SD,"Bird Dog
  Hospitality I, LLC",221 S Phillips Ave Suite 200,SD,6,112887.39,TRUE
BIRD DOG,"BIRD DOG EQUITY PARTNERS, LLC",multiple,ppp_slices/file_10_600000.rds,mike rounds,"Bird Dog
 Hospitality II, LLC
 
 Company: Bird Dog Hospitality II, LLC
 (Sioux Falls, SD) Description: Business Entity
 which holds underlying asset",SD,"Bird Dog
  Hospitality II, LLC",221 S Phillips Ave Suite 200,SD,6,112887.39,TRUE
BIRD DOG,"BIRD DOG EQUITY PARTNERS, LLC",multiple,ppp_slices/file_10_600000.rds,mike rounds,"Bird Dog
 Hospitality III, LLC
 
 Company: Bird Dog Hospitality III, LLC
 (Sioux Falls, SD) Description: Business Entity
 which holds underlying asset",SD,"Bird Dog
  Hospitality III, LLC",221 S Phillips Ave Suite 200,SD,6,112887.39,TRUE
BIRD DOG,"BIRD DOG EQUITY PARTNERS, LLC",multiple,ppp_slices/file_10_600000.rds,mike rounds,"Bird Dog
 Hospitality IV, LLC
 
 Company: Bird Dog Hospitality IV, LLC
 (Sioux Falls, SD) Description: Business Entity
 which holds underlying asset",SD,"Bird Dog
  Hospitality IV, LLC",221 S Phillips Ave Suite 200,SD,6,112887.39,TRUE
BIRD DOG,"BIRD DOG EQUITY PARTNERS, LLC",multiple,ppp_slices/file_10_600000.rds,mike rounds,"Bird Dog
 Hospitality V, LLC
 
 Company: Bird Dog Hospitality V, LLC
 (Sioux Falls, SD) Description: Business Entity
 which holds underlying asset",SD,"Bird Dog
  Hospitality V, LLC",221 S Phillips Ave Suite 200,SD,6,112887.39,TRUE
BIRD DOG,BIRD DOG PIZZA I  LLC,multiple,ppp_slices/file_10_600000.rds,mike rounds,"Bird Dog LLU,
 LLC
 Company: Bird Dog LLU, LLC (Sioux
 Falls, SD) Description: Marketing
 Company",SD,"Bird Dog LLU,
  LLC",817 S Minnesota Ave,SD,11,70785,TRUE
BIRD DOG,BIRD DOG PIZZA I  LLC,multiple,ppp_slices/file_10_600000.rds,mike rounds,"Bird Dog
 Hospitality Fund I, LLC
 
 Company: Bird Dog Hospitality Fund I,
 LLC (Sioux Falls, SD) Description: Business
 Entity which holds underlying assets. Filer comment:
 This asset name was previously listed as Bird Dog Hospitality Fund
 in last years filing. The asset name was only changed to reflect a
 more accurate description",SD,"Bird Dog
  Hospitality Fund I, LLC",817 S Minnesota Ave,SD,11,70785,TRUE
BIRD DOG,BIRD DOG PIZZA I  LLC,multiple,ppp_slices/file_10_600000.rds,mike rounds,"Bird Dog
 Hospitality I, LLC
 
 Company: Bird Dog Hospitality I, LLC
 (Sioux Falls, SD) Description: Business Entity
 which holds underlying asset",SD,"Bird Dog
  Hospitality I, LLC",817 S Minnesota Ave,SD,11,70785,TRUE
BIRD DOG,BIRD DOG PIZZA I  LLC,multiple,ppp_slices/file_10_600000.rds,mike rounds,"Bird Dog
 Hospitality II, LLC
 
 Company: Bird Dog Hospitality II, LLC
 (Sioux Falls, SD) Description: Business Entity
 which holds underlying asset",SD,"Bird Dog
  Hospitality II, LLC",817 S Minnesota Ave,SD,11,70785,TRUE
BIRD DOG,BIRD DOG PIZZA I  LLC,multiple,ppp_slices/file_10_600000.rds,mike rounds,"Bird Dog
 Hospitality III, LLC
 
 Company: Bird Dog Hospitality III, LLC
 (Sioux Falls, SD) Description: Business Entity
 which holds underlying asset",SD,"Bird Dog
  Hospitality III, LLC",817 S Minnesota Ave,SD,11,70785,TRUE
BIRD DOG,BIRD DOG PIZZA I  LLC,multiple,ppp_slices/file_10_600000.rds,mike rounds,"Bird Dog
 Hospitality IV, LLC
 
 Company: Bird Dog Hospitality IV, LLC
 (Sioux Falls, SD) Description: Business Entity
 which holds underlying asset",SD,"Bird Dog
  Hospitality IV, LLC",817 S Minnesota Ave,SD,11,70785,TRUE
BIRD DOG,BIRD DOG PIZZA I  LLC,multiple,ppp_slices/file_10_600000.rds,mike rounds,"Bird Dog
 Hospitality V, LLC
 
 Company: Bird Dog Hospitality V, LLC
 (Sioux Falls, SD) Description: Business Entity
 which holds underlying asset",SD,"Bird Dog
  Hospitality V, LLC",817 S Minnesota Ave,SD,11,70785,TRUE
MAINSTREET,MAINSTREET MUNCHKINS,single,ppp_slices/file_10_700000.rds,"william f hagerty, iv","MainStreet
 Management
 
 Company: MainStreet Management
 (Nashville, TN) Description: Pass-through
 account",TN,"MainStreet
  Management",587 MAIN ST,TN,24,49322.58,TRUE
MAINSTREET,MAINSTREET OF ATHENS INC.,multiple,ppp_slices/file_10_900000.rds,"william f hagerty, iv","MainStreet
 Management
 
 Company: MainStreet Management
 (Nashville, TN) Description: Pass-through
 account",TN,"MainStreet
  Management",123 W Washington Ave,TN,1,4988.38,TRUE
MAINSTREET,"MAINSTREET OF ATHENS, INC.",multiple,ppp_slices/file_10_900000.rds,"william f hagerty, iv","MainStreet
 Management
 
 Company: MainStreet Management
 (Nashville, TN) Description: Pass-through
 account",TN,"MainStreet
  Management",123 W WASHINGTON AVE,TN,1,4748.83,TRUE
CARONA,CARONARDA BENBOW,single,ppp_slices/file_11_500000.rds,rand paul,"Carona
 Limited
 
 Company: Carona Limited (Lake Jackson,
 TX) Description: Rental property.",TX,"Carona
  Limited",2321 Rockridge Dr,TX,1,19185.26,TRUE
CRAPO,CRAPO HOLDINGS LLC,single,ppp_slices/file_11_900000.rds,michael d crapo,"Crapo Enterprises
 LLC
 
 Company: Crapo Enterprises LLC
 (Bountiful, UT) Description: Business entity
 that holds residential property",UT,"Crapo Enterprises
  LLC",1550 South 552 East,UT,1,2628.36,TRUE
CRAPO,CRAPO HOLDINGS LLC,single,ppp_slices/file_11_900000.rds,Michael D Crapo,"Crapo Enterprises LLC
 Bountiful, UT",UT,Crapo Enterprises LLC,1550 South 552 East,UT,1,2628.36,TRUE
DOYON,"DOYON DRILLING, INC.",multiple,ppp_slices/file_us_100000.rds,daniel s sullivan,"Doyon
 Limited
 Description: Alaska Native Claims
 Settlement Act regional corporation (Fairbanks,
 AK)",AK,Doyon Limited,11500 C Street,AK,379,963802.85,TRUE
DOYON,DOYON ASSOCIATED SERVICES LLC,multiple,ppp_slices/file_us_100000.rds,daniel s sullivan,"Doyon
 Limited
 Description: Alaska Native Claims
 Settlement Act regional corporation (Fairbanks,
 AK)",AK,Doyon Limited,615 Bidwill Ave Ste 100,AK,9,NA,TRUE
TAB PRODUCTS,TAB PRODUCTS CO LLC,multiple,ppp_slices/file_us_1000000.rds,sheldon whitehouse,"MS TP Ltd
 Partnership
 
 Company: Tab Products (Mayville,
 WI) Description: Sale of Office
 Supplies Filer comment: Value is between $0 and
 $15,000. Ordinary loss for 2020 was $22,990.",WI,Tab Products,605 FOURTH ST,WI,101,1769802.21,TRUE
TAB PRODUCTS,TAB PRODUCTS CO LLC,multiple,ppp_slices/file_us_1000000.rds,sheldon whitehouse,"MS TP Ltd
 Partnership
 
 Company: Tab Products (Mayville,
 WI) Description: Sale of Office
 Supplies Filer comment: Value is between $0 and
 $15,000. Ordinary loss for 2020 was $22,990.",WI,Tab Products,605 4th St,WI,248,1639683.78,TRUE
TAB PROD,TAB PRODUCTS CO LLC,multiple,ppp_slices/file_us_1000000.rds,sheldon whitehouse,"TAB Prod Co LLC (a
 holding of T Acq Ltd)
 Company: TAB Prod Co LLC (Mayville,
 WI) Description: Sale of office
 supplies",WI,TAB Prod Co LLC,605 FOURTH ST,WI,101,1769802.21,TRUE
TAB PROD,TAB PRODUCTS CO LLC,multiple,ppp_slices/file_us_1000000.rds,sheldon whitehouse,"TAB Prod Co LLC (a
 holding of T Acq Ltd)
 Company: TAB Prod Co LLC (Mayville,
 WI) Description: Sale of office
 supplies",WI,TAB Prod Co LLC,605 4th St,WI,248,1639683.78,TRUE
PHARMACA,"PHARMACAL RESEARCH LABORATORIES, INC",single,ppp_slices/file_us_200000.rds,rick scott,"Account Receivable
 from Pharmaca Investments, LLC
 Company: Pharmaca Investments, LLC
 (Rowayton, CT)",CT,"Pharmaca Investments, LLC",562 Captain Neville Drive,CT,28,423932.74,TRUE
PHARMACA,"PHARMACAL RESEARCH LABORATORIES, INC",single,ppp_slices/file_us_200000.rds,rick scott,"Pharmaca
 Investments, LLC
 
 Company: Pharmaca Investments, LLC
 (Rowayton, CT) Description: Investment holding
 company",CT,"Pharmaca
  Investments, LLC",562 Captain Neville Drive,CT,28,423932.74,TRUE
NEW GEORGIA,NEW GEORGIA PROJECT INC.,single,ppp_slices/file_us_300000.rds,Raphael Warnock,"New Georgia Project
 Atlanta, GA",GA,New Georgia Project,65 Courtland st,GA,95,486391.56,TRUE
EBENEZER BAPTIST CHURCH,"EBENEZER BAPTIST CHURCH OF ATLANTA, GEORGIA, INC.",single,ppp_slices/file_us_300000.rds,Raphael Warnock,"Ebenezer Baptist Church
 Atlanta, GA",GA,Ebenezer Baptist Church,101 Jackson Street N.E.,GA,25,182365.28,TRUE
SYMCO,SYMCO GROUP INC,multiple,ppp_slices/file_us_300000.rds,sheldon whitehouse,"Symco Group Inc
 (inv of Seaview Mezzanine, LP
 Company: Symco Group Inc (Buford,
 GA) Description: solution provider to print
 production, etc",GA,Symco Group Inc,5012 BRISTOL INDUSTRIAL WAY Suite 105,GA,16,NA,TRUE
SYMCO,SYMCO GROUP INC,multiple,ppp_slices/file_us_300000.rds,sheldon whitehouse,"Symco Group Inc
 (inv of Seaview Mezzanine, LP
 Company: Symco Group Inc (Buford,
 GA) Description: solution provider to print
 production, etc",GA,Symco Group Inc,5012 Bristol Industrial Way Ste 105,GA,16,NA,TRUE
CRAPO,"CRAPO, LTD.",multiple,ppp_slices/file_us_400000.rds,michael d crapo,"Crapo Estate
 Holdings LLC
 
 Company: Crapo Estate Holdings LLC
 (Idaho Falls, ID) Description: Business entity
 that holds ranchland",ID,"Crapo Estate
  Holdings LLC",130 E Industrial Road,ID,52,470560.09,TRUE
CRAPO,"CRAPO, LTD.",multiple,ppp_slices/file_us_400000.rds,Michael D Crapo,"Crapo Estate Holdings LLC
 Idaho Falls, ID",ID,Crapo Estate Holdings LLC,130 E Industrial Road,ID,52,470560.09,TRUE
CRAPO,"CRAPO TRUCKING, INC.",multiple,ppp_slices/file_us_400000.rds,michael d crapo,"Crapo Estate
 Holdings LLC
 
 Company: Crapo Estate Holdings LLC
 (Idaho Falls, ID) Description: Business entity
 that holds ranchland",ID,"Crapo Estate
  Holdings LLC",130 E Industrial Park Road,ID,21,178695.28,TRUE
CRAPO,"CRAPO TRUCKING, INC.",multiple,ppp_slices/file_us_400000.rds,Michael D Crapo,"Crapo Estate Holdings LLC
 Idaho Falls, ID",ID,Crapo Estate Holdings LLC,130 E Industrial Park Road,ID,21,178695.28,TRUE
ATLAS-HERITAGE,ATLAS-HERITAGE TITLE LLC,single,ppp_slices/file_us_600000.rds,jeanne shaheen,"Atlas-Heritage
 Title Company
 Company: Atlas-Heritage Title Co., LLC
 (Dover, NH) Description: Title
 services Filer comment: Shaheen Enterprises LLC has
 had a Â½ interest in this asset.",NH,"Atlas-Heritage
  Title Company",903 CENTRAL AVE 5,NH,16,193944.47,TRUE
STRAND BOOK,"STRAND BOOK STORES, INC",multiple,ppp_slices/file_us_700000.rds,ron l wyden,"Strand Book Store
 Inc. (S-Corp)
 Description: Book Store (New York,
 NY)",NY,"Strand Book Store
  Inc.",828 BROADWAY,NY,212,1769590,TRUE
STRAND BOOK,"STRAND BOOK STORES, INC",multiple,ppp_slices/file_us_700000.rds,ron l wyden,"Strand at Columbus
 Ave LLC
 Company: Strand at Columbus Ave LLC
 (New York, NY) Description: Book
 Store",NY,"Strand at Columbus
  Ave LLC",828 BROADWAY,NY,212,1769590,TRUE
STRAND BOOK,STRAND BOOK STORE INC,multiple,ppp_slices/file_us_700000.rds,ron l wyden,"Strand Book Store
 Inc. (S-Corp)
 Description: Book Store (New York,
 NY)",NY,"Strand Book Store
  Inc.",828 Broadway Fl 10,NY,95,937866.4,TRUE
STRAND BOOK,STRAND BOOK STORE INC,multiple,ppp_slices/file_us_700000.rds,ron l wyden,"Strand at Columbus
 Ave LLC
 Company: Strand at Columbus Ave LLC
 (New York, NY) Description: Book
 Store",NY,"Strand at Columbus
  Ave LLC",828 Broadway Fl 10,NY,95,937866.4,TRUE
RIVERTOWN,RIVERTOWN CREDIT LLC,single,ppp_slices/file_us_800000.rds,tim scott,"RIVERTOWN
 INVESTMENTS, LLC (50% INTEREST)
 
 Company: RIVERTOWN INVESTMENTS, LLC
 (CHARLESTON, SC) Description: RESIDENTIAL REAL
 ESTATE",SC,"RIVERTOWN
  INVESTMENTS, LLC",3201 Hwy 701 N,SC,16,NA,TRUE
FRED JONES ENTERPRISES,"FRED JONES ENTERPRISES, LLC",single,ppp_slices/file_us_800000.rds,"William F Hagerty, IV","Fred Jones Enterprises
 Oklahoma City, Oklahoma",OK,Fred Jones Enterprises,"6200 SW 29th Street, Suite A",OK,104,1566303.23,TRUE
BASE4,"BASE4 VENTURES, LLC",single,ppp_slices/file_us_900000.rds,mark r warner,"Base4 Group,
 Inc.
 Description: Wholesale
 Company (Dallas, TX)",TX,"Base4 Group,
  Inc.",4393 Sunbelt Drive,TX,22,444994.93,TRUE
EAKIN PARTNERS,"EAKIN PARTNERS, LLC",multiple,ppp_slices/file_us_900000.rds,"william f hagerty, iv","Eakin Partners,
 LLC
 
 Company: Eakin Partners, LLC
 (Nashville, Tennessee) Description: Local real
 estate investments in Nashville, TN market",TN,"Eakin Partners,
  LLC",1201 DEMONBREUN ST,TN,19,243350.98,TRUE
EAKIN PARTNERS,EAKIN PARTNERS LLC,multiple,ppp_slices/file_us_900000.rds,"william f hagerty, iv","Eakin Partners,
 LLC
 
 Company: Eakin Partners, LLC
 (Nashville, Tennessee) Description: Local real
 estate investments in Nashville, TN market",TN,"Eakin Partners,
  LLC",1201 Demonbreun St,TN,19,243152.3,TRUE
